Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7775,2017:Q4,2018-02-01,0.7781,06:30,0.728
0.79,2017:Q3,2017-10-31,0.79,07:00,0.744
0.9497,2017:Q2,2017-08-01,0.95,07:00,0.848
0.77,2017:Q1,2017-04-28,0.77,07:00,0.605
0.58,2016:Q4,2017-02-02,0.58,07:00,0.508
0.62,2016:Q3,2016-11-01,0.62,07:00,0.596
0.74,2016:Q2,2016-08-02,0.7479,07:00,0.619
0.51,2016:Q1,2016-04-29,0.5179,07:00,0.466
0.48,2015:Q4,2016-01-29,0.48,07:01,0.437
0.54,2015:Q3,2015-10-28,0.54,06:30,0.528
0.6,2015:Q2,2015-07-30,0.6,07:00,0.575
0.49,2015:Q1,2015-04-28,0.49,07:00,0.493
0.475,2014:Q4,2015-01-30,0.335,07:00,0.402
0.525,2014:Q3,2014-10-24,0.52,07:00,0.43
0.55,2014:Q2,2014-07-25,0.55,07:00,0.531
0.445,2014:Q1,2014-04-25,0.445,07:00,0.437
0.41,2013:Q4,2014-02-04,0.41,07:00,0.404
0.43,2013:Q3,2013-10-22,0.43,07:00,0.416
0.495,2013:Q2,2013-07-23,0.495,07:00,0.486
0.405,2013:Q1,2013-04-23,0.43,07:00,0.415
0.37,2012:Q4,2013-01-29,0.39,07:00,0.357
0.38,2012:Q3,2012-10-19,0.38,07:00,0.366
0.455,2012:Q2,2012-07-20,0.455,07:00,0.454
0.36,2012:Q1,2012-04-20,0.36,06:00,0.355
0.32,2011:Q4,2012-01-27,0.335,07:00,0.317
0.33,2011:Q3,2011-10-21,0.33,07:00,0.326
0.415,2011:Q2,2011-07-22,0.415,07:00,0.364
0.31,2011:Q1,2011-04-21,0.31,07:00,0.3
0.34,2010:Q4,2011-01-28,0.31,07:00,0.276
0.295,2010:Q3,2010-10-22,0.295,07:00,0.277
0.31,2010:Q2,2010-07-23,0.31,07:00,0.3
0.275,2010:Q1,2010-04-23,0.275,07:00,0.248
0.255,2009:Q4,2010-01-29,0.255,07:00,0.226
