Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.28,2017:Q3,2017-11-07,0.2723,16:05,0.285
0.26,2017:Q2,2017-08-03,0.2379,16:05,0.245
0.33,2017:Q1,2017-05-04,0.3872,16:05,0.297
0.48,2016:Q4,2017-02-28,0.4565,16:05,0.38
0.39,2016:Q3,2016-11-08,0.3581,16:05,0.257
0.36,2016:Q2,2016-08-04,0.3659,16:05,0.243
0.41,2016:Q1,2016-05-09,0.4123,16:05,0.403
0.27,2015:Q4,2016-02-25,0.2783,16:07,0.233
0.32,2015:Q3,2015-11-09,0.3524,16:05,0.33
0.29,2015:Q2,2015-08-05,0.2947,16:05,0.325
0.43,2015:Q1,2015-05-07,0.4446,16:05,0.453
0.29,2014:Q4,2015-02-26,0.3273,16:03,0.247
0.37,2014:Q3,2014-11-06,0.379,16:05,0.295
0.33,2014:Q2,2014-08-05,0.3314,16:05,0.298
0.42,2014:Q1,2014-05-07,0.424,16:07,0.448
0.32,2013:Q4,2014-02-27,0.3387,16:05,0.28
0.29,2013:Q3,2013-11-04,0.3061,16:05,0.3
0.32,2013:Q2,2013-08-07,0.3578,16:05,0.275
0.44,2013:Q1,2013-05-06,0.4484,16:05,0.403
0.27,2012:Q4,2013-02-27,0.271,16:05,0.21
0.19,2012:Q3,2012-11-06,0.1952,16:05,0.185
0.19,2012:Q2,2012-08-07,0.1847,16:05,0.173
0.27,2012:Q1,2012-05-08,0.27,16:05,0.273
0.16,2011:Q4,2012-03-08,0.1646,16:05,0.11
0.2,2011:Q3,2011-11-03,0.2134,16:05,0.14
0.13,2011:Q2,2011-08-04,0.1345,16:05,0.175
0.23,2011:Q1,2011-05-09,0.23,16:05,0.29
0.12,2010:Q4,2011-03-08,0.1156,16:05,0.12
0.16,2010:Q3,2010-11-04,0.16,16:05,0.14
0.2,2010:Q2,2010-08-05,0.2,16:05,0.175
0.27,2010:Q1,2010-05-06,0.27,16:01,0.27
0.11,2009:Q4,2010-03-10,0.1114,16:03,0.13
