Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.11,2018:Q1,2017-11-20,-0.0665,16:00,0.044
0.2,2017:Q4,2017-08-22,0.0912,16:00,0.168
3.9,2017:Q3,2017-05-23,3.7026,16:00,3.874
0.26,2017:Q2,2017-02-23,0.0638,16:00,0.25
0.06,2017:Q1,2016-11-17,-0.1918,16:00,0.03
0.08,2016:Q4,2016-08-23,-0.1575,16:00,-0.018
3.43,2016:Q3,2016-05-24,3.2668,16:00,3.211
0.25,2016:Q2,2016-02-25,0.0666,16:00,0.191
0.09,2016:Q1,2015-11-19,-0.1113,16:00,-0.036
-0.05,2015:Q4,2015-08-20,-0.2879,16:00,-0.115
2.85,2015:Q3,2015-05-21,2.663,16:00,2.747
-0.06,2015:Q2,2015-02-19,-0.2083,16:00,-0.126
-0.1,2015:Q1,2014-11-20,0.3943,16:00,-0.204
-0.01,2014:Q4,2014-08-21,-0.1435,16:00,0.072
3.53,2014:Q3,2014-05-20,3.3922,16:00,3.498
0.02,2014:Q2,2014-02-20,-0.1279,16:00,0.016
-0.06,2014:Q1,2013-11-21,-0.2052,16:00,-0.094
0.0,2013:Q4,2013-08-20,-0.15,16:03,-0.005
2.97,2013:Q3,2013-05-21,2.9284,16:00,2.926
0.33,2013:Q2,2013-02-21,0.213,16:00,0.321
-0.03,2013:Q1,2012-11-15,-0.1848,16:00,-0.063
0.03,2012:Q4,2012-08-21,-0.11,16:00,0.061
2.51,2012:Q3,2012-05-17,2.4183,16:00,2.479
0.51,2012:Q2,2012-02-21,0.4,16:00,0.454
-0.1,2012:Q1,2011-11-17,-0.2175,16:00,-0.122
0.02,2011:Q4,2011-08-18,-0.0976,16:00,0.001
2.33,2011:Q3,2011-05-19,2.1975,16:00,2.276
0.32,2011:Q2,2011-02-17,0.23,16:00,0.314
-0.12,2011:Q1,2010-11-18,-0.2235,16:00,-0.118
-0.05,2010:Q4,2010-08-19,-0.15,16:00,-0.099
1.89,2010:Q3,2010-05-20,1.8003,16:00,1.814
0.38,2010:Q2,2010-02-18,0.2721,16:00,0.315
