Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.66,2017:Q3,2017-11-02,0.6542,06:45,0.611
0.65,2017:Q2,2017-08-04,0.6947,06:45,0.628
0.64,2017:Q1,2017-05-08,0.6301,06:45,0.604
0.48,2016:Q4,2017-02-14,0.4548,06:45,0.423
0.58,2016:Q3,2016-11-04,0.5874,06:45,0.579
0.67,2016:Q2,2016-08-04,0.7075,06:45,0.601
0.59,2016:Q1,2016-05-05,0.6096,06:45,0.586
0.58,2015:Q4,2016-02-12,0.5129,,0.55
0.63,2015:Q3,2015-10-30,0.6466,,0.593
0.6,2015:Q2,2015-07-31,0.6908,,0.585
0.65,2015:Q1,2015-05-01,0.6514,,0.525
0.59,2014:Q4,2015-02-13,0.5778,,0.573
0.66,2014:Q3,2014-10-31,0.6666,,0.6
0.6,2014:Q2,2014-07-31,0.5927,,0.523
0.62,2014:Q1,2014-05-01,0.6208,,0.524
0.49,2013:Q4,2014-02-14,0.3876,,0.467
0.54,2013:Q3,2013-10-31,4.6175,,0.493
0.51,2013:Q2,2013-08-01,0.5135,,0.446
0.47,2013:Q1,2013-05-02,0.4693,,0.423
0.39,2012:Q4,2013-02-27,0.3552,,0.377
0.44,2012:Q3,2012-11-02,0.4104,,0.393
0.5,2012:Q2,2012-08-03,0.5193,,0.28
0.39,2012:Q1,2012-05-04,0.3848,,0.258
0.36,2011:Q4,2012-02-29,-3.6956,,0.265
2.34,2011:Q3,2011-10-28,0.2194,,2.311
2.36,2011:Q2,2011-07-29,0.3488,,2.316
1.96,2011:Q1,2011-04-29,0.1838,,1.865
2.72,2010:Q4,2011-02-03,3.0811,,2.509
2.16,2010:Q3,2010-10-29,0.1162,,1.987
2.28,2010:Q2,2010-07-30,2.5101,,2.147
1.68,2010:Q1,2010-04-30,1.6795,,1.503
1.94,2009:Q4,2010-02-03,2.3745,,1.871
