Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.7355,2017:Q4,2018-01-12,1.715,06:45,1.694
1.7466,2017:Q3,2017-10-12,1.7405,06:45,1.653
1.7126,2017:Q2,2017-07-14,1.831,06:56,1.583
1.567,2017:Q1,2017-04-13,1.689,06:41,1.517
1.6206,2016:Q4,2017-01-13,1.751,08:00,1.427
1.59,2016:Q3,2016-10-14,1.5674,06:41,1.39
1.4269,2016:Q2,2016-07-14,1.4395,06:45,1.431
1.4091,2016:Q1,2016-04-13,1.342,06:45,1.254
1.401,2015:Q4,2016-01-14,1.32,06:45,1.27
1.2897,2015:Q3,2015-10-13,1.915,16:15,1.375
1.4957,2015:Q2,2015-07-14,1.5905,06:59,1.445
1.6073,2015:Q1,2015-04-14,1.5796,06:59,1.412
1.33,2014:Q4,2015-01-14,1.4612,06:59,1.316
1.62,2014:Q3,2014-10-14,1.4747,06:45,1.386
1.59,2014:Q2,2014-07-15,1.5617,06:59,1.306
1.28,2014:Q1,2014-04-11,1.289,06:59,1.442
1.4,2013:Q4,2014-01-14,1.4603,06:59,1.371
1.42,2013:Q3,2013-10-11,1.5038,06:58,1.297
1.54,2013:Q2,2013-07-12,1.6661,06:59,1.451
1.57,2013:Q1,2013-04-12,1.6336,06:59,1.384
1.35,2012:Q4,2013-01-16,1.7335,06:59,1.217
1.46,2012:Q3,2012-10-12,1.4233,06:59,1.204
1.09,2012:Q2,2012-07-13,1.1587,06:59,0.757
1.31,2012:Q1,2012-04-13,1.588,06:58,1.175
0.9,2011:Q4,2012-01-13,1.0889,06:59,0.903
1.02,2011:Q3,2011-10-13,1.0376,06:58,0.916
1.27,2011:Q2,2011-07-14,1.5691,06:59,1.206
1.28,2011:Q1,2011-04-13,1.4719,06:59,1.154
1.12,2010:Q4,2011-01-14,1.4581,06:59,0.999
1.2923,2010:Q3,2010-10-13,1.3785,06:58,0.884
1.09,2010:Q2,2010-07-15,1.1056,06:29,0.723
0.74,2010:Q1,2010-04-14,1.2117,06:59,0.638
0.74,2009:Q4,2010-01-15,0.8327,06:59,0.602
