Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.05,2017:Q3,2017-10-31,1.0413,08:06,0.941
0.97,2017:Q2,2017-08-03,0.9534,08:00,0.92
1.06,2017:Q1,2017-05-04,1.0527,08:05,0.993
0.92,2016:Q4,2017-02-09,0.7175,08:07,0.854
0.96,2016:Q3,2016-11-01,0.9547,08:00,0.871
0.91,2016:Q2,2016-08-04,0.9492,08:00,0.908
0.97,2016:Q1,2016-05-05,0.9576,08:00,0.941
0.79,2015:Q4,2016-02-11,0.7893,08:00,0.746
0.85,2015:Q3,2015-11-03,0.8422,08:00,0.837
0.92,2015:Q2,2015-08-04,0.8582,08:00,0.917
0.98,2015:Q1,2015-05-05,0.9873,08:00,0.915
0.84,2014:Q4,2015-02-12,0.8946,08:00,0.924
0.94,2014:Q3,2014-10-30,0.9389,08:00,0.921
1.02,2014:Q2,2014-07-31,0.9996,08:00,1.017
1.01,2014:Q1,2014-05-01,1.0094,08:00,0.972
0.83,2013:Q4,2014-02-06,0.6218,08:00,0.82
0.9456,2013:Q3,2013-11-04,0.9254,08:00,0.894
0.9991,2013:Q2,2013-08-01,1.0195,08:00,0.975
0.99,2013:Q1,2013-05-02,0.9971,08:00,1.021
0.6709,2012:Q4,2013-02-05,0.7678,08:00,0.662
0.9245,2012:Q3,2012-11-01,0.9919,08:00,0.807
0.9084,2012:Q2,2012-08-02,0.9851,08:00,0.846
0.9501,2012:Q1,2012-04-26,0.9891,08:00,0.99
0.64,2011:Q4,2012-02-02,0.6389,08:00,0.624
0.8,2011:Q3,2011-11-03,0.8054,08:00,0.888
0.94,2011:Q2,2011-07-28,0.94,08:00,0.911
1.0,2011:Q1,2011-05-04,1.0088,08:00,1.037
0.51,2010:Q4,2011-02-03,0.517,08:00,0.506
0.9,2010:Q3,2010-11-02,0.9,08:00,0.897
0.79,2010:Q2,2010-07-29,0.88,08:06,0.944
1.09,2010:Q1,2010-04-29,1.0951,08:02,0.939
0.46,2009:Q4,2010-02-04,0.4685,08:01,0.492
