Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.83,2017:Q3,2017-11-01,0.8257,16:05,0.822
0.98,2017:Q2,2017-08-03,0.9784,16:05,0.949
0.84,2017:Q1,2017-05-03,0.8422,16:05,0.851
0.91,2016:Q4,2017-02-15,0.9084,16:10,0.871
0.83,2016:Q3,2016-11-03,0.957,16:10,0.744
0.85,2016:Q2,2016-08-04,0.7997,16:02,0.711
0.73,2016:Q1,2016-05-04,0.8791,16:10,0.606
0.62,2015:Q4,2016-02-25,0.4681,16:10,0.58
0.44,2015:Q3,2015-11-05,0.4322,16:10,0.628
0.612,2015:Q2,2015-08-10,0.61,16:09,0.673
-2.4245362661989844e-14,2015:Q1,2015-06-02,0.5289,,-2.4245362661989844e-14
