Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.21,2017:Q4,2018-01-17,0.216,16:05,0.182
0.15,2017:Q3,2017-10-18,0.1628,16:05,0.143
0.14,2017:Q2,2017-07-19,0.1345,16:05,0.147
0.1664,2017:Q1,2017-04-19,0.1711,16:05,0.178
0.1839,2016:Q4,2017-01-18,0.118,16:05,0.18
0.1538,2016:Q3,2016-10-19,0.0263,16:05,0.153
0.1445,2016:Q2,2016-07-20,0.1619,16:05,0.146
0.2001,2016:Q1,2016-04-20,0.1853,16:05,0.187
0.2203,2015:Q4,2016-01-20,0.3328,16:05,0.183
0.158,2015:Q3,2015-10-21,0.1546,16:05,0.181
0.1669,2015:Q2,2015-07-15,0.175,16:05,0.188
0.2,2015:Q1,2015-04-15,0.2139,16:12,0.216
0.1473,2014:Q4,2015-01-21,0.2005,16:07,0.33
0.32,2014:Q3,2014-10-15,0.1449,16:05,0.319
0.27,2014:Q2,2014-07-16,0.313,16:05,0.295
0.28,2014:Q1,2014-04-16,0.296,16:05,0.283
0.33,2013:Q4,2014-01-15,0.3505,16:05,0.335
0.27,2013:Q3,2013-10-16,0.26,16:05,0.305
0.27,2013:Q2,2013-07-17,-0.2496,16:05,0.324
0.14,2013:Q1,2013-04-17,0.0064,16:05,0.318
0.34,2012:Q4,2013-01-16,0.1794,16:05,0.346
0.19,2012:Q3,2012-10-17,0.2825,16:05,0.285
-0.11,2012:Q2,2012-07-18,0.2307,16:05,0.254
0.21,2012:Q1,2012-04-18,0.3244,16:05,0.306
0.21,2011:Q4,2012-01-18,0.0841,16:05,0.29
0.45,2011:Q3,2011-10-19,0.1865,16:05,0.278
0.23,2011:Q2,2011-07-20,0.2302,16:08,0.268
0.12,2011:Q1,2011-04-20,0.0446,16:07,0.256
