Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7,2018:Q3,2017-11-09,0.7,07:00,0.722
1.24,2018:Q2,2017-08-10,1.24,07:00,1.188
0.39,2018:Q1,2017-05-11,0.39,07:00,0.29
1.44,2017:Q4,2017-02-23,1.44,07:00,1.325
0.8,2017:Q3,2016-11-10,0.8212,07:00,0.699
1.22,2017:Q2,2016-08-11,1.3374,07:00,1.032
0.31,2017:Q1,2016-05-12,0.3161,07:00,0.37
1.58,2016:Q4,2016-02-25,1.58,07:00,1.553
0.75,2016:Q3,2015-11-12,0.8118,07:00,0.689
1.07,2016:Q2,2015-08-13,1.0712,07:00,1.163
0.63,2016:Q1,2015-05-14,0.63,07:00,0.55
1.83,2015:Q4,2015-02-26,1.83,07:00,1.802
0.7,2015:Q3,2014-11-13,0.7,07:00,0.737
1.13,2015:Q2,2014-08-14,1.13,07:00,1.07
0.6,2015:Q1,2014-05-15,0.6,07:00,0.625
1.56,2014:Q4,2014-02-27,1.56,07:00,1.537
0.81,2014:Q3,2013-11-14,0.81,07:00,0.855
1.04,2014:Q2,2013-08-15,1.04,07:00,1.04
0.66,2014:Q1,2013-05-16,0.66,07:00,0.566
1.66,2013:Q4,2013-02-28,1.66,07:00,1.625
0.91,2013:Q3,2012-11-08,0.91,07:00,0.876
1.0,2013:Q2,2012-08-09,1.0,07:00,0.963
0.63,2013:Q1,2012-05-10,0.63,07:00,0.605
1.81,2012:Q4,2012-02-23,1.81,07:00,1.798
0.8,2012:Q3,2011-11-10,0.8,07:00,0.788
1.09,2012:Q2,2011-08-11,1.08,07:00,1.078
0.73,2012:Q1,2011-05-12,0.69,07:00,0.725
1.66,2011:Q4,2011-02-24,1.66,07:00,1.66
0.63,2011:Q3,2010-11-10,0.57,17:23,0.627
0.84,2011:Q2,2010-08-12,0.83,07:00,0.815
0.64,2011:Q1,2010-05-13,0.63,07:00,0.621
1.4,2010:Q4,2010-02-25,1.4,07:00,1.369
