Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.38,2017:Q4,2018-01-19,1.3235,08:00,1.363
1.35,2017:Q3,2017-10-20,1.23,08:00,1.308
1.33,2017:Q2,2017-07-21,1.27,08:00,1.281
1.17,2017:Q1,2017-04-21,1.38,08:00,1.163
1.12,2016:Q4,2017-01-20,1.21,08:00,1.167
1.12,2016:Q3,2016-10-18,1.12,08:00,1.179
1.22,2016:Q2,2016-07-19,1.11,08:00,1.024
1.03,2016:Q1,2016-04-19,0.99,08:00,0.972
1.23,2015:Q4,2016-01-22,1.33,08:00,1.101
1.21,2015:Q3,2015-10-16,1.2,08:00,1.224
1.03,2015:Q2,2015-07-17,0.0108,08:00,1.015
1.03,2015:Q1,2015-04-21,0.0027,08:00,1.077
1.27,2014:Q4,2015-01-23,0.2578,08:00,1.233
1.29,2014:Q3,2014-10-17,0.6908,08:00,1.261
1.21,2014:Q2,2014-07-18,-0.0117,08:00,1.174
1.05,2014:Q1,2014-04-16,0.1018,16:03,0.987
1.03,2013:Q4,2014-01-24,1.6719,08:00,1.095
1.1,2013:Q3,2013-10-18,1.0922,08:00,1.114
0.96,2013:Q2,2013-07-19,0.9274,08:00,0.947
0.89,2013:Q1,2013-04-19,0.8864,08:00,0.876
0.92,2012:Q4,2013-01-22,0.84,08:01,0.821
0.82,2012:Q3,2012-10-19,0.82,08:01,0.839
0.85,2012:Q2,2012-07-17,0.85,08:01,0.835
0.75,2012:Q1,2012-04-24,0.75,08:02,0.718
0.78,2011:Q4,2012-01-23,0.78,16:03,0.789
0.78,2011:Q3,2011-10-21,0.78,08:00,0.748
0.71,2011:Q2,2011-07-21,0.71,16:05,0.696
0.58,2011:Q1,2011-04-21,0.58,08:00,0.572
0.62,2010:Q4,2011-01-27,0.62,08:00,0.564
0.49,2010:Q3,2010-10-26,0.49,08:00,0.445
0.55,2010:Q2,2010-07-27,0.55,08:00,0.456
0.44,2010:Q1,2010-04-27,0.44,08:15,0.315
0.33,2009:Q4,2010-01-28,0.34,08:00,0.293
