Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.95,2017:Q3,2017-11-02,0.6573,05:30,0.803
1.04,2017:Q2,2017-08-03,0.738,06:00,0.781
0.88,2017:Q1,2017-05-04,0.6135,06:00,0.786
0.75,2016:Q4,2017-02-23,0.5442,06:00,0.821
1.25,2016:Q3,2016-11-03,1.1158,06:00,0.963
0.68,2016:Q2,2016-07-28,0.6554,06:00,0.729
0.72,2016:Q1,2016-04-27,0.7815,06:15,0.692
-2.4245362661989844e-14,2015:C4,2015-03-25,-2.4245362661989844e-14,06:00,-2.4245362661989844e-14
0.78,2015:Q4,2016-02-18,0.7876,06:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2015:C3,2014-12-03,2.1051,06:00,-2.4245362661989844e-14
0.71,2015:Q3,2015-10-29,0.7111,06:00,0.637
-2.4245362661989844e-14,2015:C2,2014-09-09,1.3854,06:00,-2.4245362661989844e-14
0.61,2015:Q2,2015-08-05,0.7547,06:00,0.578
-2.4245362661989844e-14,2015:C1,2014-06-04,-2.4245362661989844e-14,06:00,-2.4245362661989844e-14
0.65,2015:Q1,2015-05-12,0.7607,06:00,0.64
0.56,2014:Q4,2014-03-27,0.3201,06:00,0.446
-0.11,2014:Q3,2013-12-10,0.2305,06:00,0.35
0.52,2014:Q2,2013-09-04,1.0385,06:01,0.85
1.16,2014:Q1,2013-06-03,0.5783,16:05,1.015
2.16,2013:Q4,2013-03-26,2.372,16:09,2.058
1.32,2013:Q3,2012-12-05,0.6678,16:05,1.367
1.28,2013:Q2,2012-08-30,1.28,16:05,1.308
1.4,2013:Q1,2012-05-31,1.4,16:05,1.306
1.24,2012:Q4,2012-03-20,-1.96,16:02,1.336
1.4,2012:Q3,2011-12-06,-1.12,16:02,1.379
1.28,2012:Q2,2011-08-31,1.2503,16:26,1.405
1.44,2012:Q1,2011-06-02,1.3952,16:05,1.304
1.44,2011:Q4,2011-03-23,1.2172,16:05,1.189
1.64,2011:Q3,2010-12-08,1.64,16:05,1.399
1.68,2011:Q2,2010-09-01,1.6386,16:05,1.348
1.28,2011:Q1,2010-06-03,1.3488,16:02,1.235
1.28,2010:Q4,2010-03-30,1.24,16:05,1.285
