Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.46,2017:Q3,2017-10-25,2.1261,06:55,2.353
2.47,2017:Q2,2017-07-26,2.134,06:57,2.406
2.22,2017:Q1,2017-04-25,1.8217,06:56,2.196
2.15,2016:Q4,2017-02-16,2.1197,06:58,2.131
2.25,2016:Q3,2016-10-26,1.9855,06:53,2.293
2.31,2016:Q2,2016-07-27,2.0206,06:56,2.297
2.02,2016:Q1,2016-04-25,1.7109,06:51,1.952
1.98,2015:Q4,2016-02-18,1.9001,06:50,1.989
2.07,2015:Q3,2015-10-26,2.0202,06:45,2.064
2.09,2015:Q2,2015-07-28,1.8141,07:02,2.033
1.73,2015:Q1,2015-04-27,1.0011,06:45,1.625
1.65,2014:Q4,2015-02-20,1.6333,07:09,1.634
1.8,2014:Q3,2014-10-28,1.7145,06:45,1.75
1.84,2014:Q2,2014-07-18,1.6875,06:41,1.77
1.51,2014:Q1,2014-04-28,1.3643,07:03,1.576
1.61,2013:Q4,2014-02-07,1.4583,07:10,1.66
1.8,2013:Q3,2013-10-18,1.6553,06:34,1.798
1.8,2013:Q2,2013-07-19,1.6627,06:55,1.798
1.74,2013:Q1,2013-04-19,1.6097,06:45,1.772
1.54,2012:Q4,2013-02-08,1.4366,06:50,1.622
1.76,2012:Q3,2012-10-18,1.6227,06:45,1.743
1.77,2012:Q2,2012-07-19,1.6343,06:45,1.787
1.74,2012:Q1,2012-04-19,1.6064,06:45,1.669
1.56,2011:Q4,2012-02-10,1.4082,07:00,1.527
1.61,2011:Q3,2011-10-20,1.5326,07:00,1.596
1.64,2011:Q2,2011-07-21,1.5408,06:45,1.627
1.52,2011:Q1,2011-04-21,1.4057,06:55,1.459
1.34,2010:Q4,2011-02-10,1.2525,06:45,1.31
1.47,2010:Q3,2010-10-21,1.4324,06:51,1.402
1.46,2010:Q2,2010-07-22,1.46,07:03,1.415
1.3,2010:Q1,2010-04-21,1.3035,07:00,1.311
1.16,2009:Q4,2010-02-11,1.3474,07:05,1.146
