Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.05,2018:Q3,2017-11-21,1.0556,06:00,1.023
1.57,2018:Q2,2017-08-23,1.5715,06:00,1.617
1.03,2018:Q1,2017-05-24,1.0383,06:00,1.061
0.86,2017:Q4,2017-03-01,0.8936,06:00,0.785
0.88,2017:Q3,2016-11-16,0.8188,06:00,0.96
1.37,2017:Q2,2016-08-17,1.3245,06:00,1.417
0.87,2017:Q1,2016-05-18,0.878,06:00,0.849
0.59,2016:Q4,2016-02-24,0.6011,06:00,0.592
0.8,2016:Q3,2015-11-18,0.7999,06:00,0.779
1.2,2016:Q2,2015-08-19,1.2091,06:00,1.239
0.7,2016:Q1,2015-05-20,0.7082,06:00,0.737
0.46,2015:Q4,2015-02-25,0.4768,06:00,0.435
0.59,2015:Q3,2014-11-19,0.5867,06:00,0.582
1.04,2015:Q2,2014-08-20,1.04,06:00,1.025
0.58,2015:Q1,2014-05-21,0.6247,06:00,0.6
0.31,2014:Q4,2014-02-26,0.31,06:00,0.309
0.47,2014:Q3,2013-11-20,0.4756,06:00,0.476
0.88,2014:Q2,2013-08-21,0.8793,06:00,0.793
0.49,2014:Q1,2013-05-22,0.49,06:00,0.508
0.26,2013:Q4,2013-02-25,0.26,06:00,0.232
0.4,2013:Q3,2012-11-19,0.3991,06:00,0.352
0.6545,2013:Q2,2012-08-20,0.65,06:00,0.701
0.44,2013:Q1,2012-05-21,0.44,06:00,0.421
0.29,2012:Q4,2012-02-27,0.283,06:00,0.234
0.35,2012:Q3,2011-11-14,0.3155,06:00,0.326
0.68,2012:Q2,2011-08-15,0.6822,06:00,0.66
0.34,2012:Q1,2011-05-16,0.34,06:00,0.362
0.21,2011:Q4,2011-02-23,0.2194,06:00,0.177
0.31,2011:Q3,2010-11-15,0.3082,07:00,0.297
0.58,2011:Q2,2010-08-16,0.5846,07:00,0.585
0.34,2011:Q1,2010-05-17,0.34,07:00,0.315
0.14,2010:Q4,2010-02-22,0.1556,07:00,0.122
