Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.77,2017:Q4,2018-01-25,0.7743,06:30,0.765
0.88,2017:Q3,2017-10-26,0.8818,06:30,0.865
1.24,2017:Q2,2017-07-27,1.2333,06:30,1.196
0.61,2017:Q1,2017-04-27,0.6298,06:30,0.628
0.75,2016:Q4,2017-01-26,0.745,06:15,0.693
0.93,2016:Q3,2016-10-26,0.9304,06:30,0.876
1.19,2016:Q2,2016-07-21,1.1814,06:30,1.207
0.88,2016:Q1,2016-04-21,0.8641,06:30,0.837
0.9,2015:Q4,2016-01-21,0.9038,06:25,0.893
0.94,2015:Q3,2015-10-22,0.9388,06:30,0.915
1.03,2015:Q2,2015-07-23,1.0233,07:10,1.009
0.66,2015:Q1,2015-04-23,0.6571,08:20,0.651
0.59,2014:Q4,2015-01-22,0.592,08:30,0.552
0.55,2014:Q3,2014-10-23,0.5567,07:15,0.531
0.7,2014:Q2,2014-07-24,0.6987,08:30,0.608
0.18,2014:Q1,2014-04-24,0.1805,08:00,0.165
0.33,2013:Q4,2014-01-23,0.3339,08:00,0.29
0.34,2013:Q3,2013-10-24,0.3428,06:35,0.336
0.38,2013:Q2,2013-07-25,0.3793,06:35,0.375
0.07,2013:Q1,2013-04-25,0.0717,06:25,0.021
0.09,2012:Q4,2013-01-24,0.0884,06:45,0.076
0.13,2012:Q3,2012-10-18,0.1295,06:45,0.113
0.36,2012:Q2,2012-07-19,0.3589,07:00,0.326
-0.02,2012:Q1,2012-04-19,-0.0233,07:00,-0.049
0.09,2011:Q4,2012-01-19,0.0849,06:45,0.078
0.15,2011:Q3,2011-10-20,0.1508,07:25,0.136
0.15,2011:Q2,2011-08-04,0.1442,07:25,0.201
0.03,2011:Q1,2011-04-21,0.0295,07:05,0.032
0.15,2010:Q4,2011-01-20,0.1539,08:00,0.154
0.26,2010:Q3,2010-10-21,0.2566,08:03,0.247
0.29,2010:Q2,2010-07-29,0.2894,07:37,0.265
0.03,2010:Q1,2010-04-22,0.0275,07:37,0.028
0.0963,2009:Q4,2010-01-21,0.0997,07:27,0.062
