Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.3166,2017:Q4,2018-02-05,0.2933,16:15,0.321
0.2077,2017:Q3,2017-10-30,0.2039,16:30,0.181
0.1914,2017:Q2,2017-08-02,0.1914,16:15,0.141
0.1276,2017:Q1,2017-04-27,0.135,16:50,0.056
0.3545,2016:Q4,2017-02-06,0.3293,16:10,0.338
0.1929,2016:Q3,2016-10-27,0.1875,16:35,0.251
0.2179,2016:Q2,2016-08-01,0.2339,07:00,0.204
-0.0612,2016:Q1,2016-05-03,-0.0728,16:01,0.128
-1.3284,2015:Q4,2016-02-03,0.1795,16:15,0.282
0.2469,2015:Q3,2015-10-27,0.2321,16:30,0.199
0.1489,2015:Q2,2015-07-23,0.2017,08:00,0.151
0.14,2015:Q1,2015-04-29,0.0761,17:51,0.106
0.63,2014:Q4,2015-02-04,-0.4213,16:30,0.406
0.18,2014:Q3,2014-10-28,0.1825,16:56,0.2
0.11,2014:Q2,2014-07-23,0.177,16:01,0.124
0.14,2014:Q1,2014-04-29,0.1406,16:10,0.128
0.2107,2013:Q4,2014-02-04,0.2252,,0.233
0.27,2013:Q3,2013-10-28,0.2714,16:30,0.128
0.6,2013:Q2,2013-08-05,0.5327,Aft-mkt,0.143
0.16,2013:Q1,2013-05-01,0.0749,Aft-mkt,0.113
0.22,2012:Q4,2013-02-06,0.0728,06:00,0.292
0.18,2012:Q3,2012-10-31,0.1459,06:00,0.138
0.22,2012:Q2,2012-08-01,0.0078,06:00,0.147
-0.25,2012:Q1,2012-05-02,0.1957,06:00,0.1
-0.09,2011:Q4,2012-02-03,1.6279,06:30,0.288
0.09,2011:Q3,2011-11-01,0.1246,06:00,0.213
0.35,2011:Q2,2011-07-28,0.1522,06:00,0.097
0.07,2011:Q1,2011-05-05,0.0951,06:00,0.05
0.17,2010:Q4,2011-02-08,0.1717,06:00,0.26
0.04,2010:Q3,2010-11-04,0.0428,06:00,0.06
-0.01,2010:Q2,2010-08-09,-0.0108,06:00,-0.1
-0.07,2010:Q1,2010-05-04,-0.08,06:00,-0.217
0.069,2009:Q4,2010-02-11,-0.0019,06:00,0.2
