Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.1,2017:Q3,2017-11-07,1.0854,16:30,0.985
1.13,2017:Q2,2017-08-07,1.0846,16:22,1.02
1.01,2017:Q1,2017-05-08,1.0169,16:30,0.917
0.85,2016:Q4,2017-02-15,0.8451,16:30,0.842
0.92,2016:Q3,2016-11-07,0.9073,16:30,0.884
1.03,2016:Q2,2016-07-27,1.0298,16:30,0.975
0.87,2016:Q1,2016-04-27,0.877,16:30,0.839
0.7525,2015:Q4,2016-02-17,0.7107,16:30,0.76
0.78,2015:Q3,2015-10-28,0.78,16:30,0.763
0.82,2015:Q2,2015-07-29,0.8325,16:30,0.813
0.76,2015:Q1,2015-04-29,1.085,16:30,0.695
0.68,2014:Q4,2015-02-18,0.9741,16:30,0.65
0.65,2014:Q3,2014-10-28,0.9796,16:30,0.617
0.71,2014:Q2,2014-07-29,1.006,16:30,0.67
0.54,2014:Q1,2014-04-29,0.786,16:30,0.507
0.49,2013:Q4,2014-02-19,0.6798,16:30,0.494
0.52,2013:Q3,2013-10-30,0.7215,16:30,0.447
0.57,2013:Q2,2013-07-31,0.8272,16:30,0.57
0.43,2013:Q1,2013-05-01,0.6331,16:30,0.404
0.56,2012:Q4,2013-02-19,0.7869,16:30,0.549
0.44,2012:Q3,2012-10-03,0.5003,16:30,0.404
0.42,2012:Q2,2012-07-11,0.6095,16:30,0.42
0.3,2012:Q1,2012-04-18,0.421,16:30,0.286
0.46,2011:Q4,2012-02-15,0.6217,16:30,0.467
0.29,2011:Q3,2011-10-05,-0.386,16:10,0.271
0.37,2011:Q2,2011-07-13,0.5434,16:30,0.368
0.26,2011:Q1,2011-04-20,0.3902,17:00,0.273
0.39,2010:Q4,2011-02-14,0.4176,16:02,0.362
0.22,2010:Q3,2010-10-06,0.3339,18:00,0.225
0.31,2010:Q2,2010-07-14,0.4788,18:10,0.289
0.22,2010:Q1,2010-04-22,0.3397,06:30,0.199
0.32,2009:Q4,2010-02-11,0.4871,06:30,0.26
