Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
3.75,2017:Q3,2017-10-26,3.7385,16:05,3.736
3.72,2017:Q2,2017-07-27,3.7176,16:05,3.6
2.72,2017:Q1,2017-04-27,2.7169,16:05,2.719
3.26,2016:Q4,2017-02-09,3.2857,16:05,3.22
3.62,2016:Q3,2016-11-03,3.5245,16:02,3.454
3.47,2016:Q2,2016-08-04,3.4693,16:01,3.37
2.38,2016:Q1,2016-05-05,2.364,16:01,2.323
2.82,2015:Q4,2016-02-25,2.7646,16:03,2.728
2.98,2015:Q3,2015-11-05,2.9839,16:01,2.991
2.69,2015:Q2,2015-08-06,2.6676,16:01,2.617
1.7,2015:Q1,2015-05-07,1.095,16:01,1.602
2.27,2014:Q4,2015-02-19,2.2844,16:01,2.204
2.44,2014:Q3,2014-10-30,2.2032,16:08,2.416
2.21,2014:Q2,2014-07-31,2.202,16:01,2.197
1.23,2014:Q1,2014-05-01,1.2374,16:01,1.173
1.79,2013:Q4,2014-02-20,1.8635,16:01,1.745
2.02,2013:Q3,2013-10-31,1.9057,16:01,1.902
1.84,2013:Q2,2013-08-01,1.6721,16:01,1.656
0.87,2013:Q1,2013-05-02,0.8391,16:01,0.833
1.01,2012:Q4,2013-02-21,1.0702,16:01,0.941
1.04,2012:Q3,2012-11-01,1.0322,16:01,1.018
1.14,2012:Q2,2012-08-02,1.147,16:01,1.128
0.58,2012:Q1,2012-05-03,0.58,16:01,0.548
0.72,2011:Q4,2012-02-23,0.7153,16:01,0.716
0.83,2011:Q3,2011-11-03,0.7471,16:01,0.856
0.95,2011:Q2,2011-08-04,0.9481,18:10,0.927
0.42,2011:Q1,2011-05-05,0.4241,16:01,0.42
0.66,2010:Q4,2011-02-22,0.6503,16:00,0.565
0.74,2010:Q3,2010-11-04,0.7406,16:03,0.751
0.77,2010:Q2,2010-08-05,0.7525,16:07,0.704
0.35,2010:Q1,2010-04-29,0.3513,16:14,0.178
0.56,2009:Q4,2010-02-25,0.5651,16:11,0.326
