Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.4054,2017:Q3,2017-11-02,2.3982,06:36,2.45
2.0945,2017:Q2,2017-08-01,2.0894,07:18,2.363
0.6693,2017:Q1,2017-05-02,0.6703,07:00,0.447
1.5575,2016:Q4,2017-02-14,1.5531,07:30,1.622
2.49,2016:Q3,2016-11-01,2.4931,08:00,2.585
1.923,2016:Q2,2016-08-02,1.9009,08:00,2.017
0.7028,2016:Q1,2016-05-05,0.692,08:00,0.357
1.15,2015:Q4,2016-02-09,1.1534,08:40,1.338
2.04,2015:Q3,2015-11-03,2.3343,08:30,2.171
1.2402,2015:Q2,2015-08-04,1.2471,08:30,1.584
0.07,2015:Q1,2015-04-30,0.0703,08:15,0.096
0.99,2014:Q4,2015-02-10,0.9131,08:20,0.821
1.45,2014:Q3,2014-10-28,0.5979,08:15,1.696
1.34,2014:Q2,2014-07-29,1.3619,08:20,1.292
-0.35,2014:Q1,2014-04-29,-0.352,08:17,-0.344
0.78,2013:Q4,2014-01-28,0.7623,07:01,0.703
1.55,2013:Q3,2013-11-07,1.5431,08:20,1.464
0.88,2013:Q2,2013-07-30,0.8972,08:20,1.117
-0.6,2013:Q1,2013-04-30,-0.605,08:26,-0.354
0.46,2012:Q4,2013-02-12,0.4586,08:15,0.527
1.39,2012:Q3,2012-11-06,1.3697,08:10,1.261
0.92,2012:Q2,2012-07-31,0.9026,08:13,1.005
-0.3,2012:Q1,2012-05-01,-0.4255,08:05,-0.24
0.52,2011:Q4,2012-02-07,0.251,08:05,0.39
1.11,2011:Q3,2011-11-01,1.0733,08:13,1.094
0.78,2011:Q2,2011-08-02,0.8197,08:12,1.072
-0.39,2011:Q1,2011-05-03,-0.3895,08:15,-0.364
0.36,2010:Q4,2011-02-08,0.296,08:24,0.176
1.13,2010:Q3,2010-11-02,1.0689,08:43,1.163
1.28,2010:Q2,2010-08-03,1.1389,08:45,1.169
-0.48,2010:Q1,2010-05-04,-0.5562,08:38,-0.338
0.1,2009:Q4,2010-02-09,-0.0892,08:32,0.345
