Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.05,2017:Q4,2018-02-01,1.05,07:00,0.944
0.79,2017:Q3,2017-10-26,0.7926,07:00,0.781
1.0,2017:Q2,2017-07-27,0.9902,07:00,1.004
1.08,2017:Q1,2017-04-27,1.0785,07:00,0.98
0.89,2016:Q4,2017-02-02,0.8957,07:00,0.836
0.69,2016:Q3,2016-10-25,0.6975,07:00,0.681
0.91,2016:Q2,2016-07-28,0.9099,07:00,0.903
0.92,2016:Q1,2016-04-28,0.9137,07:00,0.883
0.71,2015:Q4,2016-02-04,0.7062,07:00,0.706
0.63,2015:Q3,2015-10-27,0.6319,07:00,0.598
0.8,2015:Q2,2015-07-28,0.7938,07:00,0.794
0.91,2015:Q1,2015-04-30,0.9067,07:00,0.86
0.66,2014:Q4,2015-02-06,0.6627,07:00,0.66
0.56,2014:Q3,2014-10-28,0.5577,07:00,0.525
0.79,2014:Q2,2014-07-29,0.7894,07:00,0.744
0.81,2014:Q1,2014-05-02,0.8105,07:00,0.803
0.57,2013:Q4,2014-02-11,0.5925,07:00,0.562
0.46,2013:Q3,2013-11-06,0.4675,07:00,0.459
0.72,2013:Q2,2013-08-07,0.7174,07:00,0.673
0.75,2013:Q1,2013-05-02,0.7293,07:00,0.692
0.52,2012:Q4,2013-02-12,0.5228,07:00,0.523
0.39,2012:Q3,2012-11-06,0.4206,07:00,0.379
0.61,2012:Q2,2012-08-07,0.6094,07:00,0.584
0.63,2012:Q1,2012-05-01,0.6359,07:00,0.612
0.46,2011:Q4,2012-02-14,0.4839,07:00,0.451
0.24,2011:Q3,2011-11-02,0.3283,07:00,0.23
0.5,2011:Q2,2011-08-03,0.5012,07:00,0.482
0.56,2011:Q1,2011-05-04,0.5553,07:00,0.563
0.41,2010:Q4,2011-02-15,0.4075,07:10,0.389
0.27,2010:Q3,2010-11-09,0.2591,07:00,0.28
0.46,2010:Q2,2010-08-03,-0.0114,07:00,0.442
0.51,2010:Q1,2010-05-04,0.4961,07:00,0.498
0.38,2009:Q4,2010-02-10,0.4065,07:00,0.368
