Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.98,2017:Q4,2018-02-02,0.9816,06:45,0.935
1.11,2017:Q3,2017-10-27,1.1199,06:45,1.039
1.01,2017:Q2,2017-07-28,0.7695,06:45,0.874
0.88,2017:Q1,2017-05-02,0.6506,06:45,0.832
0.89,2016:Q4,2017-02-02,0.6932,06:45,0.889
1.07,2016:Q3,2016-10-25,0.8566,06:45,0.986
0.93,2016:Q2,2016-07-29,0.6726,06:45,0.911
0.89,2016:Q1,2016-05-05,0.5637,06:45,0.852
0.93,2015:Q4,2016-02-03,0.6381,06:45,0.912
0.96,2015:Q3,2015-10-27,0.628,06:45,0.915
0.86,2015:Q2,2015-07-28,0.4087,07:00,0.811
0.85,2015:Q1,2015-04-28,0.4434,07:00,0.747
0.87,2014:Q4,2015-02-04,0.3736,07:02,0.856
0.9,2014:Q3,2014-10-27,0.5579,07:00,0.879
0.85,2014:Q2,2014-07-29,0.5898,06:56,0.81
0.88,2014:Q1,2014-04-29,0.5029,07:00,0.788
0.88,2013:Q4,2014-02-05,0.5159,07:00,0.886
0.92,2013:Q3,2013-10-28,0.541,07:00,0.874
0.84,2013:Q2,2013-07-30,0.4831,07:00,0.821
0.85,2013:Q1,2013-05-01,0.5202,07:00,0.794
0.83,2012:Q4,2013-02-01,0.4699,07:00,0.811
0.95,2012:Q3,2012-10-26,0.6304,07:00,0.926
1.05,2012:Q2,2012-07-27,0.7113,07:00,1.013
0.99,2012:Q1,2012-04-27,0.6548,07:00,0.977
0.97,2011:Q4,2012-02-02,0.7223,07:00,0.951
0.94,2011:Q3,2011-10-28,0.6187,07:00,0.907
0.95,2011:Q2,2011-07-29,0.7709,07:00,0.948
0.92,2011:Q1,2011-04-29,0.5719,07:00,0.842
0.88,2010:Q4,2011-02-03,0.4198,07:00,0.832
0.85,2010:Q3,2010-10-29,0.4489,07:00,0.827
0.86,2010:Q2,2010-07-30,0.1926,07:00,0.825
0.83,2010:Q1,2010-05-04,0.1794,06:30,0.749
0.79,2009:Q4,2010-02-16,0.8951,07:00,0.782
