Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-0.08,2017:Q3,2017-11-01,-0.1741,16:30,-0.146
-0.24,2017:Q2,2017-08-02,-0.2376,16:30,-0.149
-0.13,2017:Q1,2017-05-04,-0.1307,16:30,-0.086
-0.1,2016:Q4,2017-02-15,-0.0913,17:52,-0.14
-0.11,2016:Q3,2016-11-02,-0.2645,16:30,-0.195
-0.23,2016:Q2,2016-08-03,-0.3325,16:30,-0.245
-0.43,2016:Q1,2016-05-04,-0.3731,16:30,-0.446
-0.48,2015:Q4,2016-02-17,-0.4945,16:30,-0.479
-0.2,2015:Q3,2015-11-04,-0.2193,16:30,-0.414
-0.23,2015:Q2,2015-08-05,-0.2266,17:03,-0.225
-0.37,2015:Q1,2015-05-06,-0.3682,17:02,-0.454
-0.13,2014:Q4,2015-02-18,-1.355,17:00,0.02
0.57,2014:Q3,2014-11-03,0.5561,17:01,0.593
0.89,2014:Q2,2014-08-04,0.6192,19:57,0.748
0.88,2014:Q1,2014-05-06,-0.2768,16:41,0.721
0.6,2013:Q4,2014-02-05,0.2439,17:05,0.709
0.87,2013:Q3,2013-11-04,0.6304,16:03,0.771
0.67,2013:Q2,2013-08-06,0.3965,17:37,0.707
0.51,2013:Q1,2013-05-07,0.5057,17:26,0.719
0.55,2012:Q4,2013-02-06,0.5235,07:31,0.672
0.64,2012:Q3,2012-11-06,0.6119,07:39,0.646
0.59,2012:Q2,2012-08-01,1.1326,08:42,0.592
0.67,2012:Q1,2012-05-02,0.6741,08:38,0.871
0.78,2011:Q4,2012-02-01,0.6969,08:27,0.829
0.59,2011:Q3,2011-11-01,0.5903,08:31,0.838
0.96,2011:Q2,2011-08-02,0.6569,08:36,1.022
1.65,2011:Q1,2011-05-03,0.8891,08:41,1.414
1.09,2010:Q4,2011-02-02,0.7259,08:40,0.965
1.0,2010:Q3,2010-11-02,0.6513,08:43,0.946
1.11,2010:Q2,2010-08-03,0.6847,08:47,0.81
0.44,2010:Q1,2010-05-04,0.2743,08:49,0.176
0.32,2009:Q4,2010-02-02,0.3113,08:48,0.495
