Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.1,2017:Q4,2018-02-01,1.9378,16:10,2.036
1.53,2017:Q3,2017-11-02,1.4178,16:10,1.4
1.12,2017:Q2,2017-08-03,0.8963,16:10,1.037
0.71,2017:Q1,2017-05-04,0.4794,16:10,0.572
2.03,2016:Q4,2017-02-02,1.81,16:10,1.855
1.37,2016:Q3,2016-11-03,1.1403,16:10,1.201
1.03,2016:Q2,2016-08-04,0.7836,16:10,0.86
0.52,2016:Q1,2016-05-05,0.3655,16:10,0.405
1.58,2015:Q4,2016-02-22,1.5344,16:10,1.46
0.82,2015:Q3,2015-11-04,0.7557,07:00,0.729
0.68,2015:Q2,2015-08-05,0.6026,07:00,0.54
0.38,2015:Q1,2015-05-06,0.3128,07:00,0.25
1.25,2014:Q4,2015-02-04,1.1644,07:00,1.155
0.62,2014:Q3,2014-11-04,0.406,07:00,0.408
0.47,2014:Q2,2014-08-05,0.4077,07:00,0.619
0.5,2014:Q1,2014-05-01,0.2847,07:00,0.5
1.67,2013:Q4,2014-01-22,1.1125,07:00,1.619
1.3288,2013:Q3,2013-10-23,1.0041,07:00,1.019
1.12,2013:Q2,2013-07-24,0.8621,07:02,1.038
0.66,2013:Q1,2013-04-24,0.6523,07:00,0.666
1.1,2012:Q4,2013-01-23,1.1765,07:00,1.018
0.84,2012:Q3,2012-10-24,0.7219,07:00,0.729
0.7,2012:Q2,2012-07-25,0.6809,07:00,0.689
0.59,2012:Q1,2012-04-25,0.4882,07:00,0.539
0.87,2011:Q4,2012-01-25,0.7177,07:00,0.818
0.65,2011:Q3,2011-10-27,0.4668,07:00,0.598
-2.4245362661989844e-14,2011:Q2,2011-07-28,0.2559,07:00,0.513
0.54,2011:Q1,2011-04-28,1.0533,07:00,0.322
0.98,2010:Q4,2011-01-27,0.7719,07:00,1.052
1.12,2010:Q3,2010-10-28,-0.0828,07:01,0.794
0.63,2010:Q2,2010-07-29,-0.0144,07:00,0.564
0.35,2010:Q1,2010-04-29,0.2044,07:00,-0.032
0.63,2009:Q4,2010-01-28,0.2672,07:00,0.583
