Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.66,2017:Q4,2018-01-18,2.5754,07:05,2.404
2.2137,2017:Q3,2017-10-18,2.21,06:51,2.404
2.35,2017:Q2,2017-07-19,2.35,06:51,2.271
2.0005,2017:Q1,2017-04-17,2.12,06:53,1.931
2.0969,2016:Q4,2017-01-19,1.98,06:56,2.036
2.1,2016:Q3,2016-10-19,2.1,06:50,2.04
2.03,2016:Q2,2016-07-20,2.0282,06:51,2.085
1.8223,2016:Q1,2016-04-18,1.8183,06:50,1.87
2.05,2015:Q4,2016-01-19,2.0535,06:39,1.973
1.93,2015:Q3,2015-10-19,1.93,06:40,2.004
1.98,2015:Q2,2015-07-16,1.98,08:08,1.978
1.65,2015:Q1,2015-04-20,1.65,07:56,1.762
1.92,2014:Q4,2015-01-20,1.92,08:06,1.943
1.91,2014:Q3,2014-10-17,1.91,08:08,1.974
1.98,2014:Q2,2014-07-17,1.98,08:01,1.901
1.61,2014:Q1,2014-04-14,1.61,08:00,1.61
1.74,2013:Q4,2014-01-17,1.56,08:04,1.911
2.11,2013:Q3,2013-10-17,2.11,08:01,2.088
2.01,2013:Q2,2013-07-17,2.1053,08:15,2.11
2.0,2013:Q1,2013-04-15,2.0024,08:03,1.979
2.16,2012:Q4,2013-01-16,2.16,08:10,2.17
2.17,2012:Q3,2012-10-17,2.17,08:09,1.86
1.74,2012:Q2,2012-07-17,1.7445,08:01,1.685
1.51,2012:Q1,2012-04-16,1.5132,08:05,1.488
1.25,2011:Q4,2012-01-17,1.1217,08:05,1.523
1.53,2011:Q3,2011-10-19,1.4503,07:54,1.709
2.16,2011:Q2,2011-07-20,2.0792,08:02,1.57
1.61,2011:Q1,2011-04-18,1.6118,07:51,1.412
1.5,2010:Q4,2011-01-14,1.4456,07:46,1.452
1.48,2010:Q3,2010-10-20,1.48,08:17,1.41
1.46,2010:Q2,2010-07-21,1.46,08:32,1.261
1.15,2010:Q1,2010-04-19,1.15,08:10,0.996
1.25,2009:Q4,2010-01-20,1.0723,08:05,0.896
