Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.08,2017:Q4,2018-01-31,0.1237,17:30,0.067
-0.03,2017:Q3,2017-11-01,-0.3164,17:00,-0.149
-0.11,2017:Q2,2017-08-02,-0.303,16:30,-0.154
-0.06,2017:Q1,2017-05-03,-0.4436,17:04,-0.027
-0.16,2016:Q4,2017-01-25,-0.0775,17:34,-0.174
-0.18,2016:Q3,2016-10-26,-0.1145,Aft-mkt,-0.199
-0.36,2016:Q2,2016-07-27,-0.2507,Aft-mkt,-0.364
-0.66,2016:Q1,2016-05-04,-0.6465,16:33,-0.713
-0.76,2015:Q4,2016-01-27,-0.8651,Aft-mkt,-1.305
-0.72,2015:Q3,2015-10-28,-0.4493,16:20,-0.93
-0.48,2015:Q2,2015-07-29,-0.4687,Aft-mkt,-0.526
-1.11,2015:Q1,2015-04-29,-0.9265,Aft-mkt,-0.877
0.39,2014:Q4,2015-01-28,0.2835,Aft-mkt,0.255
1.15,2014:Q3,2014-10-31,1.1862,,0.986
0.9,2014:Q2,2014-07-30,0.7901,17:32,1.216
0.96,2014:Q1,2014-04-30,0.9833,Aft-mkt,0.971
1.41,2013:Q4,2014-01-29,1.4006,Aft-mkt,1.179
1.34,2013:Q3,2013-10-30,1.3432,17:01,1.468
1.86,2013:Q2,2013-07-31,1.4387,16:45,1.535
1.08,2013:Q1,2013-05-01,0.9737,16:31,0.975
2.07,2012:Q4,2013-01-30,1.3095,16:53,1.361
1.17,2012:Q3,2012-10-31,1.1926,17:00,1.198
1.52,2012:Q2,2012-08-01,1.5168,17:01,1.326
1.49,2012:Q1,2012-05-02,1.3791,17:00,1.518
-0.59,2011:Q4,2012-01-25,1.3042,17:30,1.408
1.73,2011:Q3,2011-11-02,1.7898,17:00,1.19
1.6,2011:Q2,2011-07-27,1.3214,17:03,1.641
1.38,2011:Q1,2011-05-04,1.2183,16:47,0.994
0.9,2010:Q4,2011-01-26,0.7878,17:06,1.009
1.05,2010:Q3,2010-11-03,1.0344,16:47,1.091
1.41,2010:Q2,2010-08-04,1.4136,17:15,1.204
0.98,2010:Q1,2010-05-05,0.7453,16:32,0.992
0.85,2009:Q4,2010-01-27,0.9976,16:39,0.872
