Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.25,2017:Q4,2018-01-26,1.1762,07:35,1.308
1.85,2017:Q3,2017-10-26,1.8307,07:37,1.768
1.86,2017:Q2,2017-07-26,1.8624,07:30,1.756
1.75,2017:Q1,2017-04-21,1.6851,07:36,1.562
1.21,2016:Q4,2017-01-27,1.2945,07:35,1.288
1.74,2016:Q3,2016-10-31,1.7292,07:35,1.673
1.67,2016:Q2,2016-07-27,1.6744,07:34,1.574
1.55,2016:Q1,2016-04-28,1.5594,07:30,1.398
1.17,2015:Q4,2016-01-28,1.1096,07:37,1.076
1.6,2015:Q3,2015-10-28,1.6248,07:30,1.649
1.56,2015:Q2,2015-08-03,1.5449,07:32,1.497
1.41,2015:Q1,2015-04-29,1.3758,07:30,1.265
1.03,2014:Q4,2015-01-27,1.0524,07:30,1.063
1.55,2014:Q3,2014-10-31,1.5459,07:39,1.538
1.43,2014:Q2,2014-07-29,1.3848,07:30,1.44
1.26,2014:Q1,2014-04-30,1.2189,07:30,1.07
0.95,2013:Q4,2014-01-28,0.9295,07:42,0.965
1.43,2013:Q3,2013-11-01,1.3963,07:30,1.394
1.46,2013:Q2,2013-07-30,1.4498,07:30,1.297
1.12,2013:Q1,2013-04-30,0.1739,07:30,1.018
1.03,2012:Q4,2013-01-29,0.9792,07:30,0.952
1.26,2012:Q3,2012-10-24,0.8675,07:32,1.401
1.26,2012:Q2,2012-07-26,1.1752,07:32,1.162
1.02,2012:Q1,2012-04-25,1.0324,Bef-mkt,0.967
0.93,2011:Q4,2012-01-27,0.9277,Bef-mkt,0.906
1.309,2011:Q3,2011-11-04,1.3105,08:32,1.398
1.18,2011:Q2,2011-07-27,1.2443,07:31,1.083
0.94,2011:Q1,2011-04-29,0.9147,07:32,0.952
0.8,2010:Q4,2011-01-25,0.7674,07:33,0.88
1.45,2010:Q3,2010-10-29,1.3448,07:30,1.431
1.11,2010:Q2,2010-07-23,1.0336,07:30,1.057
0.94,2010:Q1,2010-04-27,0.8151,07:30,0.856
0.79,2009:Q4,2010-01-26,0.7279,07:30,0.743
