Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.07,2017:Q3,2017-11-01,0.0601,06:30,0.069
0.1,2017:Q2,2017-08-02,0.079,06:30,0.101
0.71,2017:Q1,2017-05-03,0.65,07:00,0.673
0.33,2016:Q4,2017-02-22,0.3137,06:30,0.334
0.06,2016:Q3,2016-11-01,0.0698,Bef-mkt,0.072
0.08,2016:Q2,2016-08-02,0.0896,06:30,0.072
0.6,2016:Q1,2016-05-03,0.5814,06:30,0.573
0.31,2015:Q4,2016-02-18,0.2484,06:32,0.3
0.06,2015:Q3,2015-11-03,0.051,06:30,0.025
0.18,2015:Q2,2015-08-03,0.0027,06:30,0.211
0.85,2015:Q1,2015-04-30,0.5875,06:30,0.809
0.51,2014:Q4,2015-02-18,0.4635,06:30,0.518
0.14,2014:Q3,2014-10-30,-0.0543,06:30,0.159
0.25,2014:Q2,2014-07-31,0.2478,06:30,0.244
0.82,2014:Q1,2014-04-30,0.8154,06:30,0.787
0.47,2013:Q4,2014-02-18,0.4731,06:30,0.463
0.18,2013:Q3,2013-10-31,0.1379,06:30,0.171
0.23,2013:Q2,2013-07-31,0.2296,06:30,0.23
0.69,2013:Q1,2013-04-30,0.6896,06:30,0.714
0.44,2012:Q4,2013-02-19,0.4213,06:30,0.421
0.05,2012:Q3,2012-11-02,0.0485,06:30,0.039
0.23,2012:Q2,2012-07-31,0.2254,06:30,0.204
0.76,2012:Q1,2012-05-01,0.6502,06:30,0.708
0.32,2011:Q4,2012-02-01,0.2436,06:30,0.365
0.11,2011:Q3,2011-10-28,0.1334,06:30,0.104
0.17,2011:Q2,2011-08-02,0.1432,06:30,0.16
0.72,2011:Q1,2011-05-03,0.7375,06:30,0.72
0.33,2010:Q4,2011-02-01,0.3382,06:30,0.342
0.04,2010:Q3,2010-10-29,0.1263,06:30,0.063
0.13,2010:Q2,2010-08-03,0.1035,06:30,0.094
0.72,2010:Q1,2010-05-04,0.7196,06:30,0.679
0.35,2009:Q4,2010-02-01,0.4189,06:30,0.367
