Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.46,2018:Q2,2017-12-21,0.46,16:15,0.403
0.57,2018:Q1,2017-09-26,0.57,16:15,0.48
0.6005,2017:Q4,2017-06-29,0.6,16:15,0.501
0.6766,2017:Q3,2017-03-21,0.68,16:15,0.526
0.5,2017:Q2,2016-12-20,0.5,16:15,0.43
0.6009,2017:Q1,2016-09-27,0.73,16:15,0.56
0.49,2016:Q4,2016-06-28,0.49,16:15,0.48
0.55,2016:Q3,2016-03-22,0.55,16:15,0.485
0.45,2016:Q2,2015-12-22,0.45,16:15,0.431
0.67,2016:Q1,2015-09-24,0.335,16:15,0.598
0.49,2015:Q4,2015-06-25,0.245,16:15,0.418
0.445,2015:Q3,2015-03-19,0.445,16:15,0.424
0.37,2015:Q2,2014-12-18,0.37,16:15,0.353
0.545,2015:Q1,2014-09-25,0.545,16:15,0.44
0.39,2014:Q4,2014-06-26,0.39,16:15,0.378
0.38,2014:Q3,2014-03-20,0.375,16:15,0.362
0.295,2014:Q2,2013-12-19,0.295,16:15,0.29
0.43,2014:Q1,2013-09-26,0.43,16:15,0.393
0.38,2013:Q4,2013-06-27,0.38,16:15,0.374
0.365,2013:Q3,2013-03-21,0.365,16:15,0.338
0.285,2013:Q2,2012-12-20,0.285,16:15,0.251
0.3175,2013:Q1,2012-09-27,0.315,16:15,0.282
0.3,2012:Q4,2012-06-28,0.3083,16:15,0.344
0.3,2012:Q3,2012-03-22,0.305,16:15,0.291
0.25,2012:Q2,2011-12-20,0.255,16:15,0.243
0.34,2012:Q1,2011-09-22,0.34,16:15,0.304
0.31,2011:Q4,2011-06-27,0.31,16:15,0.289
0.27,2011:Q3,2011-03-17,0.27,16:15,0.281
0.235,2011:Q2,2010-12-21,0.235,16:15,0.219
0.285,2011:Q1,2010-09-23,0.285,16:15,0.253
0.265,2010:Q4,2010-06-23,0.265,16:15,0.265
0.2525,2010:Q3,2010-03-17,0.2525,16:15,0.224
