Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-0.04,2017:Q4,2018-02-05,-0.4526,19:40,-0.04
-0.069,2017:Q3,2017-10-26,-0.07,18:00,-0.082
-0.14,2017:Q2,2017-07-27,-0.1443,18:42,-0.146
-0.17,2017:Q1,2017-04-26,-0.32,18:30,-0.202
-0.15,2016:Q4,2017-02-06,-0.1546,18:12,-0.293
-0.34,2016:Q3,2016-10-26,-0.3404,20:45,-0.279
-0.3,2016:Q2,2016-07-28,-0.3,06:45,-0.328
-0.06,2016:Q1,2016-04-28,-0.06,06:45,-0.12
0.23,2015:Q4,2016-02-03,-0.0227,06:45,0.438
0.61,2015:Q3,2015-10-28,0.6079,07:00,0.556
0.77,2015:Q2,2015-07-28,0.77,07:00,0.642
1.14,2015:Q1,2015-04-28,1.14,07:00,1.091
1.69,2014:Q4,2015-02-03,1.7621,07:00,1.598
1.62,2014:Q3,2014-10-30,1.6592,07:00,1.542
1.47,2014:Q2,2014-07-29,1.4684,07:00,1.437
1.4,2014:Q1,2014-04-28,1.29,07:00,1.384
1.56,2013:Q4,2014-01-31,1.5067,07:00,1.389
1.34,2013:Q3,2013-10-25,1.2572,07:00,1.315
1.33,2013:Q2,2013-07-30,1.2366,07:00,1.329
1.29,2013:Q1,2013-04-26,1.2687,07:00,1.36
1.49,2012:Q4,2013-02-01,1.6207,07:00,1.438
1.52,2012:Q3,2012-10-25,1.5244,07:00,1.51
1.46,2012:Q2,2012-07-26,1.4672,07:00,1.402
1.44,2012:Q1,2012-04-25,1.4063,07:00,1.395
1.37,2011:Q4,2012-02-02,1.3974,07:00,1.3
1.26,2011:Q3,2011-10-25,1.2668,07:00,1.164
1.14,2011:Q2,2011-07-26,1.1422,07:00,1.008
1.0,2011:Q1,2011-04-27,1.0061,07:00,1.001
1.05,2010:Q4,2011-02-03,1.0515,07:00,0.958
0.97,2010:Q3,2010-10-26,0.9848,07:00,0.902
0.97,2010:Q2,2010-07-29,0.9343,07:00,0.93
1.1,2010:Q1,2010-04-27,1.0705,08:00,0.86
0.96,2009:Q4,2010-02-03,1.0112,08:00,0.781
