Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.14,2017:Q3,2017-11-09,0.1409,06:50,0.134
0.06,2017:Q2,2017-08-09,0.0644,06:50,0.079
0.16,2017:Q1,2017-05-09,0.1672,06:50,0.119
0.11,2016:Q4,2017-03-01,-0.1064,06:50,0.104
0.16,2016:Q3,2016-11-02,0.1645,06:50,0.153
0.03,2016:Q2,2016-08-03,0.186,06:50,0.059
0.1,2016:Q1,2016-04-26,0.1562,06:50,0.125
0.07,2015:Q4,2016-02-23,0.0212,06:50,0.11
0.16,2015:Q3,2015-11-03,0.1715,06:50,0.162
0.06,2015:Q2,2015-08-04,0.1788,06:56,0.063
0.13,2015:Q1,2015-05-05,0.1364,06:50,0.134
0.07,2014:Q4,2015-02-24,0.0113,06:50,0.038
0.1,2014:Q3,2014-11-04,0.1442,06:50,0.089
-0.02,2014:Q2,2014-08-05,-0.1109,07:00,-0.015
0.07,2014:Q1,2014-05-06,-0.0248,07:00,0.027
-0.03,2013:Q4,2014-02-25,-0.1408,06:00,0.028
0.02,2013:Q3,2013-11-05,-0.2492,16:01,0.057
-0.1,2013:Q2,2013-07-30,-0.1749,07:00,-0.1
0.0,2013:Q1,2013-04-30,-0.0177,07:00,0.044
0.0,2012:Q4,2013-02-20,0.0228,,0.038
0.06,2012:Q3,2012-11-06,-0.0459,07:00,0.011
-0.14,2012:Q2,2012-08-07,-0.1744,07:00,-0.091
0.05,2012:Q1,2012-05-01,0.2233,07:00,0.051
0.03,2011:Q4,2012-02-28,0.0545,07:00,0.001
0.0,2011:Q3,2011-10-25,0.2882,07:00,0.008
-0.06,2011:Q2,2011-07-26,-0.11,07:00,-0.117
0.0,2011:Q1,2011-04-26,-0.05,07:00,0.019
0.09,2010:Q4,2011-02-22,-0.2518,07:00,-0.033
0.03,2010:Q3,2010-10-27,-0.0035,07:00,0.03
-0.07,2010:Q2,2010-07-27,-0.09,07:00,-0.169
0.07,2010:Q1,2010-04-27,0.07,07:00,0.08
-0.06,2009:Q4,2010-02-23,-0.2524,07:00,-0.189
