Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.13,2017:Q3,2017-10-17,1.13,06:40,1.095
1.4021,2017:Q2,2017-07-20,1.4,06:40,1.379
1.0203,2017:Q1,2017-04-18,1.02,06:40,0.959
1.4664,2016:Q4,2017-02-07,1.47,06:40,1.438
1.06,2016:Q3,2016-10-18,1.06,06:40,1.038
1.36,2016:Q2,2016-07-14,1.36,06:40,1.334
0.9,2016:Q1,2016-04-19,0.9,06:45,0.868
1.35,2015:Q4,2016-02-09,1.35,06:41,1.325
0.97,2015:Q3,2015-10-20,0.97,06:40,0.951
1.26,2015:Q2,2015-07-21,1.26,07:00,1.22
0.83,2015:Q1,2015-04-21,0.83,07:00,0.823
1.3,2014:Q4,2015-02-10,1.3,07:00,1.254
0.95,2014:Q3,2014-10-21,0.95,07:00,0.899
1.2,2014:Q2,2014-07-22,1.2345,06:49,1.161
0.8,2014:Q1,2014-04-22,0.796,07:00,0.789
1.18,2013:Q4,2014-02-11,1.2077,07:00,1.139
0.8376,2013:Q3,2013-10-15,0.8235,07:00,0.81
1.09,2013:Q2,2013-07-18,1.09,07:00,1.081
0.76,2013:Q1,2013-04-18,0.76,07:00,0.749
1.13,2012:Q4,2013-02-12,1.2014,07:00,1.097
0.74,2012:Q3,2012-10-16,0.74,07:00,0.719
1.02,2012:Q2,2012-07-17,1.02,07:00,1.004
0.72,2012:Q1,2012-04-17,0.72,07:00,0.686
0.96,2011:Q4,2012-02-14,1.2105,07:00,0.946
0.72,2011:Q3,2011-10-18,0.72,07:00,0.701
0.96,2011:Q2,2011-07-19,0.96,07:00,0.922
0.69,2011:Q1,2011-04-19,0.7078,07:00,0.59
0.83,2010:Q4,2011-02-15,0.8036,07:00,0.809
0.57,2010:Q3,2010-10-19,0.5681,07:00,0.581
0.79,2010:Q2,2010-07-20,0.79,07:00,0.774
0.52,2010:Q1,2010-04-20,0.52,07:00,0.497
0.73,2009:Q4,2010-02-10,0.9415,07:00,0.724
