Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.31,2017:Q4,2018-01-18,0.3053,16:01,0.268
0.26,2017:Q3,2017-10-19,0.2648,16:01,0.253
0.244,2017:Q2,2017-07-20,0.2396,16:01,0.228
0.22,2017:Q1,2017-04-20,0.2199,07:05,0.223
0.24,2016:Q4,2017-01-19,0.2433,16:01,0.237
0.25,2016:Q3,2016-10-20,0.2469,16:00,0.23
0.23,2016:Q2,2016-07-21,0.23,16:01,0.22
0.21,2016:Q1,2016-04-21,0.21,07:00,0.213
0.22,2015:Q4,2016-01-21,0.2182,16:02,0.226
0.23,2015:Q3,2015-10-15,0.23,16:06,0.218
0.21,2015:Q2,2015-07-16,0.2065,16:12,0.212
0.21,2015:Q1,2015-04-16,0.2105,07:00,0.198
0.22,2014:Q4,2015-01-15,0.2179,16:04,0.211
0.21,2014:Q3,2014-10-16,0.211,16:05,0.211
0.2,2014:Q2,2014-07-17,0.2435,16:06,0.203
0.19,2014:Q1,2014-04-16,0.1908,17:00,0.195
0.2,2013:Q4,2014-01-16,0.1984,16:03,0.201
0.2,2013:Q3,2013-10-17,0.197,16:04,0.208
0.2,2013:Q2,2013-07-18,0.1981,16:03,0.189
0.18,2013:Q1,2013-04-18,0.1836,07:00,0.183
0.19,2012:Q4,2013-01-17,0.1857,16:07,0.19
0.19,2012:Q3,2012-10-18,0.1862,16:02,0.186
0.2,2012:Q2,2012-07-19,0.2018,16:04,0.189
0.18,2012:Q1,2012-04-19,0.1773,07:00,0.184
0.17,2011:Q4,2012-01-19,0.1694,16:05,0.186
0.19,2011:Q3,2011-10-20,0.1825,16:05,0.175
0.17,2011:Q2,2011-07-21,0.1742,16:06,0.151
0.15,2011:Q1,2011-04-20,0.1555,16:05,0.117
0.1,2010:Q4,2011-01-20,0.1041,16:38,0.094
0.08,2010:Q3,2010-10-21,0.0797,16:10,0.101
0.09,2010:Q2,2010-07-15,0.0951,16:16,0.094
0.08,2010:Q1,2010-04-15,0.0836,16:10,0.081
0.08,2009:Q4,2010-01-21,0.0786,16:10,0.081
