Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.18,2017:Q4,2018-01-30,1.1791,08:00,1.124
1.1411,2017:Q3,2017-10-24,1.14,08:00,1.08
1.0576,2017:Q2,2017-07-25,1.06,08:00,0.987
0.8798,2017:Q1,2017-04-25,0.8791,08:00,0.875
0.8207,2016:Q4,2017-01-31,0.8242,05:00,0.869
0.98,2016:Q3,2016-10-25,0.98,08:00,0.995
1.06,2016:Q2,2016-07-26,1.0583,08:00,1.023
0.99,2016:Q1,2016-04-26,0.9886,08:00,0.959
0.98,2015:Q4,2016-01-29,0.9861,08:00,1.018
1.21,2015:Q3,2015-10-27,1.21,08:00,1.163
1.26,2015:Q2,2015-07-28,1.26,08:00,1.153
1.06,2015:Q1,2015-04-21,1.06,08:00,1.012
1.11,2014:Q4,2015-01-30,1.1133,08:00,1.095
1.04,2014:Q3,2014-10-28,1.04,08:00,0.962
0.9,2014:Q2,2014-07-29,0.9,08:00,0.891
0.77,2014:Q1,2014-04-29,0.77,08:00,0.759
0.94,2013:Q4,2014-01-31,0.94,08:00,0.927
0.87,2013:Q3,2013-10-29,0.87,08:00,0.853
0.82,2013:Q2,2013-07-23,0.82,08:00,0.745
0.67,2013:Q1,2013-04-23,0.67,08:00,0.679
0.72,2012:Q4,2013-01-31,0.72,08:00,0.681
0.66,2012:Q3,2012-10-25,0.66,08:00,0.649
0.83,2012:Q2,2012-07-24,0.83,08:00,0.813
0.91,2012:Q1,2012-04-24,0.91,08:00,0.789
0.91,2011:Q4,2012-01-31,0.91,08:00,0.794
0.77,2011:Q3,2011-10-25,0.77,08:00,0.696
0.65,2011:Q2,2011-07-26,0.65,08:00,0.689
0.53,2011:Q1,2011-04-19,0.53,08:00,0.491
0.4404,2010:Q4,2011-02-01,0.4513,08:00,0.466
0.33,2010:Q3,2010-10-26,0.33,08:00,0.321
0.27,2010:Q2,2010-07-27,0.27,08:00,0.21
0.19,2010:Q1,2010-04-20,0.19,08:00,0.152
0.1562,2009:Q4,2010-01-29,0.0764,08:00,0.065
