Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.48,2017:Q3,2017-10-04,1.483,06:00,1.431
1.5,2017:Q2,2017-07-11,1.4947,06:04,1.397
0.94,2017:Q1,2017-04-26,0.935,06:00,0.916
1.2,2016:Q4,2017-02-15,1.1981,06:30,1.158
1.4,2016:Q3,2016-09-29,1.4003,06:30,1.355
1.35,2016:Q2,2016-07-07,1.3566,06:30,1.294
0.89,2016:Q1,2016-04-18,0.8929,06:30,0.812
1.06,2015:Q4,2016-02-11,1.0853,06:31,1.059
1.35,2015:Q3,2015-10-06,1.3694,06:30,1.274
1.32,2015:Q2,2015-07-09,1.3355,06:30,1.25
0.83,2015:Q1,2015-04-23,0.83,07:00,0.792
1.12,2014:Q4,2015-02-11,1.1136,07:02,1.079
1.36,2014:Q3,2014-10-09,1.3666,06:41,1.289
1.3231,2014:Q2,2014-07-23,1.322,07:00,1.23
0.81,2014:Q1,2014-04-17,0.8257,07:00,0.752
1.05,2013:Q4,2014-02-13,1.1831,07:00,1.004
1.2402,2013:Q3,2013-10-16,1.2447,07:00,1.17
1.2227,2013:Q2,2013-07-24,1.3055,07:00,1.188
0.77,2013:Q1,2013-04-18,0.7028,07:00,0.707
1.092,2012:Q4,2013-02-14,1.0875,07:01,1.052
1.1984,2012:Q3,2012-10-17,1.2043,07:00,1.159
1.1164,2012:Q2,2012-07-25,1.0121,07:00,1.094
0.69,2012:Q1,2012-04-26,0.6879,07:00,0.669
1.15,2011:Q4,2012-02-09,1.181,06:59,1.124
1.31,2011:Q3,2011-10-12,1.3044,07:00,1.296
1.21,2011:Q2,2011-07-21,1.2312,07:00,1.206
0.7422,2011:Q1,2011-04-28,0.7287,07:00,0.73
1.0494,2010:Q4,2011-02-10,1.0417,07:00,1.04
1.22,2010:Q3,2010-10-07,1.2154,07:00,1.22
1.1,2010:Q2,2010-07-20,1.0547,07:00,1.084
0.76,2010:Q1,2010-04-22,0.5596,07:00,0.752
0.9,2009:Q4,2010-02-11,0.8924,07:58,0.902
