Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.85,2017:Q4,2018-01-30,0.8574,06:30,0.855
0.6,2017:Q3,2017-10-24,0.5913,06:30,0.588
0.47,2017:Q2,2017-07-25,0.4967,06:30,0.448
0.31,2017:Q1,2017-04-25,0.2834,06:30,0.29
0.67,2016:Q4,2017-01-26,1.0016,06:30,0.588
0.434,2016:Q3,2016-10-20,0.4265,06:30,0.436
0.37,2016:Q2,2016-07-21,0.394,06:30,0.323
0.2377,2016:Q1,2016-04-21,0.2507,06:30,0.201
0.57,2015:Q4,2016-01-28,0.6541,06:30,0.487
0.33,2015:Q3,2015-10-22,0.3278,06:30,0.429
0.23,2015:Q2,2015-07-23,0.2342,06:30,0.262
0.15,2015:Q1,2015-04-23,0.1522,06:30,0.202
0.4316,2014:Q4,2015-01-29,0.6181,06:30,0.403
0.37,2014:Q3,2014-10-23,0.3757,06:40,0.364
0.25,2014:Q2,2014-07-24,0.1192,06:30,0.254
0.21,2014:Q1,2014-04-24,0.2068,06:30,0.203
0.57,2013:Q4,2014-01-30,0.5784,06:30,0.452
0.45,2013:Q3,2013-10-24,0.4174,06:30,0.365
0.26,2013:Q2,2013-07-25,0.1522,06:30,0.299
0.21,2013:Q1,2013-04-25,0.2108,06:30,0.153
0.15,2012:Q4,2013-01-31,0.2073,06:30,0.313
0.27,2012:Q3,2012-10-25,0.3022,06:30,0.202
0.11,2012:Q2,2012-07-26,0.119,06:30,0.053
-0.03,2012:Q1,2012-04-26,-0.021,06:30,-0.036
0.11,2011:Q4,2012-02-02,0.0556,06:30,0.068
0.11,2011:Q3,2011-10-27,0.299,06:30,-0.009
-0.04,2011:Q2,2011-07-28,-0.1167,06:30,-0.037
-0.1,2011:Q1,2011-04-28,-0.0975,06:30,-0.132
-0.2,2010:Q4,2011-02-04,-0.3142,07:00,-0.09
2.57,2010:Q3,2010-11-03,-0.8728,07:00,-0.048
0.2,2010:Q2,2010-08-04,0.2141,07:00,-0.008
-0.01,2010:Q1,2010-05-05,-0.0165,06:00,-0.232
-0.84,2009:Q4,2010-02-09,1.2491,07:00,-0.42
