Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.56,2017:Q4,2018-01-30,1.5298,17:16,1.513
1.68,2017:Q3,2017-10-25,1.68,17:08,1.683
1.52,2017:Q2,2017-07-26,1.5285,18:35,1.473
1.27,2017:Q1,2017-04-26,1.2785,17:13,1.222
1.23,2016:Q4,2017-01-30,1.2871,17:09,1.154
1.3,2016:Q3,2016-10-19,1.2994,17:00,1.311
1.25,2016:Q2,2016-07-20,1.2505,17:20,1.18
1.11,2016:Q1,2016-04-20,1.1226,17:01,1.013
1.08,2015:Q4,2016-01-25,1.0742,17:46,1.03
1.26,2015:Q3,2015-10-20,1.257,17:45,1.284
1.18,2015:Q2,2015-07-21,1.2157,17:03,1.027
1.01,2015:Q1,2015-04-20,1.0105,17:00,1.085
1.16,2014:Q4,2015-01-26,1.1614,17:13,1.17
1.26,2014:Q3,2014-10-20,1.2606,17:00,1.257
1.16,2014:Q2,2014-07-21,1.1753,17:00,1.104
1.08,2014:Q1,2014-04-22,1.0894,17:00,0.999
1.04,2013:Q4,2014-02-11,2.8072,17:00,0.89
0.91,2013:Q3,2013-10-14,0.9182,17:00,0.888
0.71,2013:Q2,2013-07-16,0.7529,17:00,0.628
0.62,2013:Q1,2013-04-22,0.64,17:00,0.563
0.61,2012:Q4,2013-01-22,0.8094,06:00,0.618
0.55,2012:Q3,2012-10-15,0.5487,17:00,0.562
0.49,2012:Q2,2012-07-16,0.4857,17:00,0.455
0.42,2012:Q1,2012-04-17,-0.0553,17:00,0.403
0.4,2011:Q4,2012-01-23,0.4049,17:00,0.366
0.43,2011:Q3,2011-10-17,0.44,17:00,0.429
0.39,2011:Q2,2011-07-18,0.4119,17:00,0.341
0.39,2011:Q1,2011-04-18,0.4106,17:00,0.409
0.52,2010:Q4,2011-01-24,0.5995,17:00,0.526
0.6,2010:Q3,2010-10-18,0.9475,17:00,0.588
0.38,2010:Q2,2010-07-19,0.3907,16:30,0.311
0.12,2010:Q1,2010-04-19,0.233,16:50,0.114
0.16,2009:Q4,2010-01-25,0.5917,16:50,0.125
