Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.19,2017:Q4,2018-01-18,1.1607,06:51,1.184
1.52,2017:Q3,2017-10-19,1.5276,06:51,1.522
1.83,2017:Q2,2017-07-20,1.829,06:51,1.819
1.35,2017:Q1,2017-04-20,1.3555,06:51,1.315
1.19,2016:Q4,2017-01-19,1.1553,06:51,1.182
1.56,2016:Q3,2016-10-20,1.5208,06:51,1.555
1.85,2016:Q2,2016-07-21,1.7823,06:51,1.855
1.31,2016:Q1,2016-04-21,1.2842,06:51,1.301
1.23,2015:Q4,2016-01-21,1.1636,06:51,1.224
1.61,2015:Q3,2015-10-15,1.5491,06:51,1.571
1.67,2015:Q2,2015-07-16,1.6776,06:51,1.641
1.185,2015:Q1,2015-04-16,1.1938,08:11,1.172
1.055,2014:Q4,2015-01-15,0.9854,08:11,0.994
1.41,2014:Q3,2014-10-16,1.4123,08:11,1.38
1.415,2014:Q2,2014-07-17,0.7178,08:11,1.391
0.9894,2014:Q1,2014-04-17,0.8814,08:11,0.916
0.905,2013:Q4,2014-01-16,0.748,08:11,0.865
1.22,2013:Q3,2013-10-17,1.08,08:11,1.174
1.175,2013:Q2,2013-07-18,1.0714,08:11,1.175
0.79,2013:Q1,2013-04-18,0.5639,08:11,0.771
0.765,2012:Q4,2013-01-14,0.6209,08:11,0.767
1.12,2012:Q3,2012-10-18,1.1525,08:11,1.103
1.18,2012:Q2,2012-07-19,0.9723,07:10,1.185
0.905,2012:Q1,2012-04-19,0.7043,08:11,0.893
0.695,2011:Q4,2012-01-19,0.6804,08:11,0.634
0.98,2011:Q3,2011-10-20,0.9923,08:11,0.963
1.06,2011:Q2,2011-07-21,1.0499,08:11,1.007
0.7,2011:Q1,2011-04-21,0.726,08:11,0.669
0.625,2010:Q4,2011-01-20,0.6339,08:11,0.564
0.795,2010:Q3,2010-10-21,0.8491,08:11,0.732
0.82,2010:Q2,2010-07-15,0.7976,08:11,0.738
0.35,2010:Q1,2010-04-15,0.3485,08:11,0.315
0.43,2009:Q4,2010-01-21,0.3863,08:19,0.369
