Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.52,2017:Q4,2018-01-25,1.5147,06:01,1.48
1.5,2017:Q3,2017-10-26,1.4984,06:01,1.447
1.46,2017:Q2,2017-07-27,1.462,06:01,1.422
1.37,2017:Q1,2017-04-27,1.3709,06:01,1.332
1.41,2016:Q4,2017-01-26,1.3739,06:01,1.407
1.41,2016:Q3,2016-10-27,1.409,06:01,1.405
1.39,2016:Q2,2016-07-28,1.39,06:01,1.362
1.28,2016:Q1,2016-04-29,1.2749,06:01,1.261
1.47,2015:Q4,2016-01-29,1.47,06:01,1.468
1.46,2015:Q3,2015-10-29,1.4627,06:01,1.448
1.45,2015:Q2,2015-07-29,1.7732,06:01,1.455
1.43,2015:Q1,2015-04-29,1.43,06:01,1.436
1.57,2014:Q4,2015-01-28,1.5202,06:01,1.566
1.62,2014:Q3,2014-10-29,1.62,06:02,1.622
1.58,2014:Q2,2014-07-23,1.58,06:02,1.587
1.51,2014:Q1,2014-04-23,1.51,06:02,1.508
1.55,2013:Q4,2014-01-29,1.4245,06:01,1.548
1.51,2013:Q3,2013-10-30,1.5096,06:02,1.514
1.49,2013:Q2,2013-07-24,1.49,06:05,1.479
1.38,2013:Q1,2013-04-24,1.3767,06:05,1.386
1.38,2012:Q4,2013-01-23,1.3107,06:08,1.376
1.39,2012:Q3,2012-10-24,1.3737,06:05,1.392
1.42,2012:Q2,2012-07-25,1.42,06:05,1.423
1.38,2012:Q1,2012-04-25,1.3285,06:05,1.357
1.36,2011:Q4,2012-01-25,1.3966,06:05,1.367
1.4,2011:Q3,2011-10-26,1.4,06:02,1.392
1.38,2011:Q2,2011-07-27,1.38,06:02,1.375
1.29,2011:Q1,2011-04-27,1.29,06:01,1.264
1.25,2010:Q4,2011-01-26,1.2757,06:02,1.231
1.21,2010:Q3,2010-10-27,1.21,06:05,1.197
1.19,2010:Q2,2010-07-28,1.19,06:02,1.138
1.09,2010:Q1,2010-04-28,1.0664,06:03,1.093
1.09,2009:Q4,2010-01-27,1.1565,06:02,1.091
