Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.48,2017:Q3,2017-11-01,0.4706,16:03,0.304
0.21,2017:Q2,2017-08-01,0.2118,16:05,0.116
0.25,2017:Q1,2017-05-03,0.2491,16:05,0.15
0.49,2016:Q4,2017-02-07,0.5026,16:05,0.317
0.13,2016:Q3,2016-11-01,0.4726,16:05,0.146
-0.22,2016:Q2,2016-07-27,-0.2216,16:05,-0.344
-0.64,2016:Q1,2016-04-25,-0.6519,16:10,-0.758
-0.18,2015:Q4,2016-02-10,-0.1218,16:05,-0.333
-0.01,2015:Q3,2015-11-02,-0.0698,16:15,-0.049
0.1,2015:Q2,2015-08-04,0.1158,16:20,0.033
-0.03,2015:Q1,2015-05-05,-0.0681,16:05,0.057
0.8,2014:Q4,2015-02-10,0.4243,16:05,0.925
1.35,2014:Q3,2014-11-04,1.3386,16:02,1.256
1.35,2014:Q2,2014-08-04,1.7982,16:09,1.28
1.26,2014:Q1,2014-05-06,1.3527,16:05,1.061
1.0,2013:Q4,2014-02-10,1.1168,16:05,0.982
1.26,2013:Q3,2013-11-04,1.174,16:15,1.35
1.1,2013:Q2,2013-07-31,1.1091,16:18,1.114
1.02,2013:Q1,2013-05-01,0.9962,16:10,0.973
0.83,2012:Q4,2013-02-13,0.8204,16:01,0.877
0.82,2012:Q3,2012-10-31,1.0072,16:15,0.979
0.78,2012:Q2,2012-07-31,1.1089,16:30,0.951
1.23,2012:Q1,2012-05-02,1.2287,16:40,1.205
1.19,2011:Q4,2012-02-06,1.2823,16:29,1.031
1.13,2011:Q3,2011-11-01,1.3029,16:30,0.855
0.94,2011:Q2,2011-08-03,0.9201,16:30,0.813
0.68,2011:Q1,2011-05-03,0.7731,16:30,0.514
0.51,2010:Q4,2011-02-07,0.0874,16:47,0.417
0.35,2010:Q3,2010-10-26,0.2144,16:31,0.374
0.43,2010:Q2,2010-07-28,0.3434,16:30,0.432
0.48,2010:Q1,2010-05-04,0.423,16:32,0.432
0.16,2009:Q4,2010-02-02,0.098,16:31,0.05
