Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.98,2018:Q1,2018-01-31,0.6361,16:07,0.914
0.92,2017:Q4,2017-11-01,0.5508,16:03,0.823
0.83,2017:Q3,2017-07-19,0.6598,16:03,0.808
1.34,2017:Q2,2017-04-19,1.1555,16:20,1.185
1.19,2017:Q1,2017-01-25,1.0603,16:06,1.181
1.28,2016:Q4,2016-11-02,1.3662,16:08,1.132
1.16,2016:Q3,2016-07-20,0.9883,16:09,0.974
1.04,2016:Q2,2016-04-20,0.7924,16:32,0.962
0.97,2016:Q1,2016-01-27,0.9268,16:05,0.908
0.91,2015:Q4,2015-11-04,0.5531,16:21,0.863
0.99,2015:Q3,2015-07-22,0.8163,16:01,0.947
1.4,2015:Q2,2015-04-22,1.0074,16:01,1.336
1.34,2015:Q1,2015-01-28,1.4302,16:01,1.254
1.26,2014:Q4,2014-11-05,0.9254,16:01,1.315
1.44,2014:Q3,2014-07-23,1.3078,16:01,1.214
1.31,2014:Q2,2014-04-23,1.1351,16:01,1.223
1.26,2014:Q1,2014-01-29,1.0508,16:00,1.176
1.05,2013:Q4,2013-11-06,0.9,16:00,1.082
1.03,2013:Q3,2013-07-24,1.0278,16:00,1.031
1.17,2013:Q2,2013-04-24,1.0283,16:00,1.172
1.26,2013:Q1,2013-01-30,1.0584,16:00,1.124
0.89,2012:Q4,2012-11-07,0.696,16:00,0.817
0.85,2012:Q3,2012-07-18,0.6711,16:00,0.86
1.01,2012:Q2,2012-04-18,0.7917,16:00,0.955
0.97,2012:Q1,2012-02-01,0.7839,16:00,0.902
0.8,2011:Q4,2011-11-02,0.608,16:00,0.782
0.73,2011:Q3,2011-07-20,0.5709,16:00,0.707
0.86,2011:Q2,2011-04-20,0.9079,16:00,0.802
0.82,2011:Q1,2011-01-26,0.8578,16:00,0.718
0.68,2010:Q4,2010-11-03,0.4613,16:00,0.593
0.57,2010:Q3,2010-07-21,0.4993,16:00,0.538
0.59,2010:Q2,2010-04-21,0.4617,16:00,0.57
0.62,2010:Q1,2010-01-27,0.5032,16:00,0.559
