Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.29,2017:Q1,2016-07-26,0.2243,16:15,0.253
0.3,2016:Q4,2016-05-05,0.2296,16:15,0.253
0.33,2016:Q3,2016-01-28,0.2551,16:15,0.26
0.17,2016:Q2,2015-10-22,0.1073,16:15,0.152
0.19,2016:Q1,2015-07-30,0.1122,16:15,0.179
0.28,2015:Q4,2015-04-30,0.183,16:15,0.264
0.36,2015:Q3,2015-01-29,0.2109,16:15,0.285
0.25,2015:Q2,2014-10-16,0.1461,16:15,0.223
0.21,2015:Q1,2014-07-24,0.1025,16:15,0.202
0.24,2014:Q4,2014-05-01,-0.4223,16:15,0.223
0.29,2014:Q3,2014-01-29,0.2525,16:15,0.242
0.23,2014:Q2,2013-10-24,0.1735,16:15,0.194
0.18,2014:Q1,2013-07-25,0.0943,16:15,0.14
0.17,2013:Q4,2013-05-02,0.33,16:15,0.165
0.2,2013:Q3,2013-01-24,0.15,16:15,0.17
0.18,2013:Q2,2012-10-25,0.13,16:15,0.178
0.26,2013:Q1,2012-07-26,0.19,16:15,0.267
0.34,2012:Q4,2012-05-03,0.3,16:14,0.318
0.36,2012:Q3,2012-01-26,0.29,16:15,0.336
0.34,2012:Q2,2011-10-27,0.26,16:15,0.335
0.38,2012:Q1,2011-07-28,0.32,16:15,0.335
0.37,2011:Q4,2011-05-05,0.3355,16:15,0.338
0.53,2011:Q3,2011-01-27,0.4682,16:15,0.417
0.34,2011:Q2,2010-10-21,0.2711,16:15,0.316
0.3,2011:Q1,2010-07-22,0.2213,16:15,0.29
0.28,2010:Q4,2010-04-29,0.2321,16:15,0.258
0.3,2010:Q3,2010-01-26,0.2469,16:34,0.292
