Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.33,2017:Q3,2017-10-24,1.2788,07:55,1.298
1.0,2017:Q2,2017-07-26,0.972,07:55,0.95
0.82,2017:Q1,2017-04-25,0.7273,07:55,0.841
1.07,2016:Q4,2017-02-02,1.3751,07:55,1.409
1.67,2016:Q3,2016-10-25,1.5672,07:55,1.666
1.56,2016:Q2,2016-07-27,1.0249,07:55,1.536
1.12,2016:Q1,2016-04-26,0.8143,07:55,1.048
1.66,2015:Q4,2016-02-02,1.3934,07:55,1.752
1.74,2015:Q3,2015-10-22,1.3965,08:00,1.731
1.65,2015:Q2,2015-07-23,1.2246,07:55,1.615
1.08,2015:Q1,2015-04-22,0.667,07:55,1.001
1.6,2014:Q4,2015-02-03,1.1685,07:55,1.591
1.63,2014:Q3,2014-10-22,1.1749,07:55,1.628
1.44,2014:Q2,2014-07-23,0.9832,07:55,1.393
0.92,2014:Q1,2014-04-23,0.5176,07:55,0.87
1.35,2013:Q4,2014-02-04,0.9162,07:55,1.291
1.46,2013:Q3,2013-10-22,1.109,07:55,1.445
1.25,2013:Q2,2013-07-23,0.903,07:55,1.229
0.81,2013:Q1,2013-04-23,0.5025,07:55,0.774
1.17,2012:Q4,2013-01-31,0.8988,07:55,1.101
1.28,2012:Q3,2012-10-23,0.9855,07:55,1.175
1.0,2012:Q2,2012-07-24,0.7053,07:55,0.928
0.59,2012:Q1,2012-04-24,0.309,07:55,0.578
0.97,2011:Q4,2012-02-02,0.9667,07:55,0.966
1.09,2011:Q3,2011-10-25,0.8551,07:55,1.022
0.92,2011:Q2,2011-07-27,0.7242,07:59,0.768
0.51,2011:Q1,2011-04-26,0.3524,07:55,0.443
0.65,2010:Q4,2011-02-03,0.4509,07:55,0.627
0.72,2010:Q3,2010-10-21,0.6729,07:55,0.65
0.58,2010:Q2,2010-07-23,0.4974,07:55,0.484
0.24,2010:Q1,2010-04-21,0.1843,07:55,0.2
0.41,2009:Q4,2010-02-03,0.4216,07:55,0.473
