Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.3492,2017:Q3,2017-11-01,0.3492,16:15,0.301
0.331,2017:Q2,2017-08-03,0.3272,16:15,0.39
-0.2656,2017:Q1,2017-05-09,-0.2656,16:20,-0.004
0.3033,2016:Q4,2017-02-08,0.3011,16:15,0.348
0.1844,2016:Q3,2016-11-01,0.0918,16:18,0.37
0.35,2016:Q2,2016-08-02,0.3444,16:47,0.302
0.4169,2016:Q1,2016-05-03,0.3585,16:15,0.303
0.2698,2015:Q4,2016-02-10,0.252,16:15,0.208
0.57,2015:Q3,2015-10-28,0.2759,16:17,0.26
0.34,2015:Q2,2015-08-05,0.34,16:05,0.26
0.27,2015:Q1,2015-05-06,0.2591,16:05,0.243
0.7978,2014:Q4,2015-02-11,0.7868,16:05,0.236
0.518,2014:Q3,2014-11-03,0.52,16:05,0.18
0.28,2014:Q2,2014-08-06,0.28,16:05,0.16
0.21,2014:Q1,2014-05-07,0.21,16:01,0.15
0.5043,2013:Q4,2014-02-12,0.1648,16:28,0.168
0.4447,2013:Q3,2013-10-30,0.2545,17:00,0.183
0.35,2013:Q2,2013-07-31,0.19,16:35,0.178
0.17,2013:Q1,2013-05-07,0.14,16:30,0.153
0.1647,2012:Q4,2013-01-30,-0.0334,16:48,0.15
0.13,2012:Q3,2012-11-07,0.1192,17:15,0.093
0.06,2012:Q2,2012-07-31,0.07,17:15,0.143
0.08,2012:Q1,2012-05-02,0.07,17:35,0.09
0.1835,2011:Q4,2012-02-01,0.0703,16:50,0.14
0.09,2011:Q3,2011-11-03,0.05,17:00,0.13
0.14,2011:Q2,2011-08-03,0.12,17:15,0.103
0.02,2011:Q1,2011-05-04,0.01,20:50,0.088
0.0791,2010:Q4,2011-02-02,-0.4279,17:30,0.033
0.12,2010:Q3,2010-11-03,0.09,17:40,0.1
0.103,2010:Q2,2010-08-04,0.09,17:05,0.053
0.1938,2010:Q1,2010-05-05,0.05,17:05,0.067
0.3803,2009:Q4,2010-02-03,0.2567,Aft-mkt,0.162
