Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.96,2018:Q1,2018-01-24,1.9945,07:00,1.746
1.69,2017:Q4,2017-11-08,1.6519,07:00,1.717
1.76,2017:Q3,2017-07-26,1.766,07:00,1.645
1.55,2017:Q2,2017-04-26,1.5449,07:00,1.402
1.75,2017:Q1,2017-01-25,1.7471,07:00,1.449
1.52,2016:Q4,2016-11-07,1.7248,07:00,1.489
1.55,2016:Q3,2016-07-27,1.4615,07:00,1.459
1.37,2016:Q2,2016-04-27,1.2825,07:00,1.332
1.49,2016:Q1,2016-01-27,1.4,07:00,1.328
1.57,2015:Q4,2015-11-10,1.6513,07:00,1.78
1.59,2015:Q3,2015-07-29,1.5142,07:00,1.542
1.59,2015:Q2,2015-04-30,1.51,07:00,1.418
1.64,2015:Q1,2015-01-28,1.561,07:00,1.493
1.86,2014:Q4,2014-11-12,1.8168,07:00,1.827
1.49,2014:Q3,2014-07-30,1.4305,07:00,1.552
1.35,2014:Q2,2014-04-29,1.28,07:00,1.444
1.47,2014:Q1,2014-01-29,1.41,07:00,1.387
1.62,2013:Q4,2013-11-07,1.5934,07:00,1.526
1.54,2013:Q3,2013-07-30,1.4509,07:00,1.385
1.33,2013:Q2,2013-04-24,1.2405,07:00,1.288
1.23,2013:Q1,2013-01-30,1.14,07:00,1.255
1.38,2012:Q4,2012-11-05,1.4525,07:00,1.323
1.33,2012:Q3,2012-07-25,1.3323,07:00,1.307
1.16,2012:Q2,2012-04-25,1.191,07:00,1.271
1.27,2012:Q1,2012-01-25,1.2705,07:00,1.209
1.39,2011:Q4,2011-11-08,1.4152,07:00,1.213
1.22,2011:Q3,2011-07-28,1.2209,07:00,1.193
1.14,2011:Q2,2011-04-27,1.1458,07:00,1.118
1.04,2011:Q1,2011-01-26,1.0243,07:00,0.884
0.91,2010:Q4,2010-11-09,0.9458,07:00,0.912
0.83,2010:Q3,2010-07-28,0.8151,07:00,0.795
0.77,2010:Q2,2010-04-28,0.7623,07:00,0.507
0.54,2010:Q1,2010-01-27,0.5418,07:00,0.356
