Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7182,2018:Q3,2017-11-16,0.72,16:01,0.669
0.821,2018:Q2,2017-08-17,0.82,16:01,0.767
0.82,2018:Q1,2017-05-18,0.82,16:01,0.799
0.7684,2017:Q4,2017-02-28,0.77,16:01,0.754
0.62,2017:Q3,2016-11-17,0.62,16:01,0.559
0.71,2017:Q2,2016-08-18,0.71,16:01,0.674
0.73,2017:Q1,2016-05-19,0.73,16:01,0.733
0.66,2016:Q4,2016-03-01,0.66,16:01,0.64
0.53,2016:Q3,2015-11-19,0.53,16:03,0.5
0.63,2016:Q2,2015-08-20,0.63,16:01,0.623
0.685,2016:Q1,2015-05-21,0.685,16:01,0.641
0.6,2015:Q4,2015-02-26,0.6,16:01,0.555
0.465,2015:Q3,2014-11-20,0.465,,0.436
0.5613,2015:Q2,2014-08-21,0.57,16:01,0.544
0.575,2015:Q1,2014-05-22,0.575,16:01,0.576
0.51,2014:Q4,2014-02-27,0.51,16:00,0.509
0.4,2014:Q3,2013-11-21,0.4,16:00,0.401
0.49,2014:Q2,2013-08-22,0.49,16:00,0.468
0.535,2014:Q1,2013-05-23,0.535,16:00,0.54
0.535,2013:Q4,2013-03-21,0.535,08:30,0.538
0.36,2013:Q3,2012-11-15,0.36,08:30,0.362
0.405,2013:Q2,2012-08-16,0.405,08:25,0.408
0.465,2013:Q1,2012-05-17,0.465,08:30,0.468
0.425,2012:Q4,2012-03-15,0.425,08:30,0.428
0.315,2012:Q3,2011-11-17,0.315,08:25,0.318
0.32,2012:Q2,2011-08-18,0.32,08:26,0.32
0.37,2012:Q1,2011-05-19,0.37,08:30,0.37
0.3425,2011:Q4,2011-03-17,0.345,08:30,0.34
0.255,2011:Q3,2010-11-18,0.255,08:30,0.259
0.2675,2011:Q2,2010-08-19,0.2675,08:30,0.27
0.29,2011:Q1,2010-05-20,0.2902,08:30,0.29
0.29,2010:Q4,2010-03-18,0.2902,08:30,0.291
