Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.05,2017:Q3,2017-10-24,0.0416,17:00,0.033
0.06,2017:Q2,2017-08-01,0.0073,17:00,0.079
0.25,2017:Q1,2017-04-24,0.2416,17:00,0.187
0.23,2016:Q4,2017-02-22,0.2541,17:15,0.093
-0.06,2016:Q3,2016-10-25,-0.0918,Aft-mkt,-0.153
-0.14,2016:Q2,2016-07-26,-0.2833,16:31,-0.186
-0.1,2016:Q1,2016-04-28,-0.254,16:25,-0.189
0.25,2015:Q4,2016-02-25,0.2722,16:45,0.088
0.03,2015:Q3,2015-10-28,0.0438,16:30,-0.046
0.01,2015:Q2,2015-07-28,-0.5288,16:40,0.034
0.19,2015:Q1,2015-04-28,0.126,16:30,0.131
0.39,2014:Q4,2015-02-24,0.3944,16:16,0.282
0.37,2014:Q3,2014-10-29,0.6882,17:05,0.334
0.36,2014:Q2,2014-07-28,0.4253,17:01,0.398
0.46,2014:Q1,2014-04-28,0.4603,17:02,0.505
0.42,2013:Q4,2014-02-25,0.4211,17:24,0.385
0.36,2013:Q3,2013-10-29,0.3337,17:01,0.297
0.34,2013:Q2,2013-07-24,0.3323,17:05,0.331
0.33,2013:Q1,2013-04-25,0.1516,17:02,0.298
0.46,2012:Q4,2013-02-26,0.2692,17:54,0.289
0.2,2012:Q3,2012-10-24,-0.0048,17:15,0.18
0.11,2012:Q2,2012-07-24,-0.0666,17:30,0.057
0.15,2012:Q1,2012-04-25,0.2117,Aft-mkt,0.128
0.33,2011:Q4,2012-02-21,0.2356,19:11,0.302
0.28,2011:Q3,2011-10-25,0.1572,17:10,0.242
0.27,2011:Q2,2011-07-25,0.223,17:06,0.181
0.22,2011:Q1,2011-04-26,0.0239,17:29,0.193
0.19,2010:Q4,2011-02-28,0.1359,20:34,0.133
0.12,2010:Q3,2010-10-27,0.1642,17:15,0.095
0.08,2010:Q2,2010-07-26,0.0918,18:45,0.104
0.16,2010:Q1,2010-04-27,0.2912,18:23,0.136
0.22,2009:Q4,2010-02-24,0.0098,20:26,0.267
