Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-1.23,2015:Q3,2014-12-11,-1.3869,07:00,-1.042
-1.0,2015:Q2,2014-09-11,-0.9875,07:00,-0.663
-0.98,2015:Q1,2014-06-10,-0.9653,07:00,-2.4245362661989844e-14
-1.29,2013:Q4,2014-03-04,-1.3178,07:00,-0.13
-1.09,2013:Q3,2013-10-22,-1.239,07:05,-0.37
-0.53,2013:Q2,2013-07-23,-0.5122,07:00,-0.238
-0.35,2013:Q1,2013-04-23,-0.3222,Bef-mkt,-0.106
0.04,2012:Q4,2013-02-26,-1.2274,06:30,-0.038
-0.33,2012:Q3,2012-10-23,-0.2525,06:00,-0.167
-0.21,2012:Q2,2012-07-25,-0.1553,06:00,0.038
-0.08,2012:Q1,2012-04-24,-0.0467,07:00,0.042
0.12,2011:Q4,2012-02-21,0.1281,07:00,0.118
0.15,2011:Q3,2011-10-25,0.1653,16:07,0.354
0.31,2011:Q2,2011-07-26,0.2304,07:05,0.373
0.35,2011:Q1,2011-04-25,0.3217,07:00,0.35
0.52,2010:Q4,2011-02-22,0.4752,16:04,0.528
0.38,2010:Q3,2010-10-25,0.3627,07:00,0.349
0.41,2010:Q2,2010-07-29,0.392,06:23,0.406
0.39,2010:Q1,2010-04-26,0.3915,16:05,0.361
0.6,2009:Q4,2010-02-22,0.6026,16:05,0.594
