Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.4389,2017:Q4,2018-01-17,0.414,08:45,0.415
0.4169,2017:Q3,2017-10-16,0.4119,08:45,0.407
0.3886,2017:Q2,2017-07-18,0.3863,08:53,0.388
0.3657,2017:Q1,2017-04-18,0.3671,08:45,0.365
0.36,2016:Q4,2017-01-18,0.3582,08:45,0.359
0.3423,2016:Q3,2016-10-17,0.35,08:45,0.334
0.3036,2016:Q2,2016-07-18,0.3,08:45,0.298
0.29,2016:Q1,2016-04-15,0.29,08:45,0.292
0.2451,2015:Q4,2016-01-19,0.2687,08:45,0.254
0.2648,2015:Q3,2015-10-15,0.28,08:45,0.267
0.2389,2015:Q2,2015-07-16,0.24,08:45,0.237
0.22,2015:Q1,2015-04-15,0.22,08:45,0.231
0.24,2014:Q4,2015-01-16,0.2355,08:45,0.244
0.25,2014:Q3,2014-10-15,0.24,08:45,0.245
0.23,2014:Q2,2014-07-16,0.22,08:45,0.224
0.24,2014:Q1,2014-04-15,0.24,08:45,0.22
0.23,2013:Q4,2014-01-16,0.23,08:45,0.208
0.22,2013:Q3,2013-10-15,0.22,08:45,0.204
0.18,2013:Q2,2013-07-16,0.18,08:45,0.187
0.15,2013:Q1,2013-04-15,0.15,08:45,0.158
0.15,2012:Q4,2013-01-16,0.15,08:45,0.148
0.17,2012:Q3,2012-10-15,0.1711,08:45,0.167
0.2,2012:Q2,2012-07-17,0.2,08:44,0.178
0.15,2012:Q1,2012-04-16,0.15,08:45,0.151
0.13,2011:Q4,2012-01-18,0.1293,08:45,0.13
0.18,2011:Q3,2011-10-17,0.1873,08:45,0.193
0.2,2011:Q2,2011-07-18,0.201,08:45,0.195
0.2,2011:Q1,2011-04-15,0.2,08:45,0.186
0.18,2010:Q4,2011-01-18,0.1663,08:45,0.184
0.1757,2010:Q3,2010-10-15,0.1773,08:45,0.164
0.17,2010:Q2,2010-07-16,0.17,08:03,0.151
0.1,2010:Q1,2010-04-15,0.1072,08:45,0.108
0.14,2009:Q4,2010-01-19,0.14,16:31,0.146
