Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.83,2017:Q4,2018-01-23,1.8301,07:00,1.699
1.71,2017:Q3,2017-10-23,1.7669,07:00,1.613
1.67,2017:Q2,2017-07-26,1.6512,07:00,1.572
1.21,2017:Q1,2017-04-26,1.2012,07:00,1.104
1.4831,2016:Q4,2017-01-25,1.4968,07:19,1.325
1.35,2016:Q3,2016-10-26,1.4172,07:00,1.253
1.46,2016:Q2,2016-07-27,1.485,07:00,1.266
0.98,2016:Q1,2016-04-27,1.0006,07:00,0.899
1.21,2015:Q4,2016-01-27,1.3721,07:00,1.185
1.16,2015:Q3,2015-10-23,1.2999,06:58,1.239
1.37,2015:Q2,2015-07-24,1.3068,07:00,1.369
1.17,2015:Q1,2015-04-24,1.2554,06:17,1.053
1.37,2014:Q4,2015-01-23,1.32,05:52,1.267
1.35,2014:Q3,2014-10-24,1.29,07:05,1.207
1.39,2014:Q2,2014-07-22,1.43,07:12,1.26
0.99,2014:Q1,2014-04-25,0.9951,07:12,0.998
1.15,2013:Q4,2014-01-24,1.34,07:25,1.192
1.19,2013:Q3,2013-10-22,1.23,07:30,1.179
1.24,2013:Q2,2013-07-19,1.3,07:17,1.186
0.96,2013:Q1,2013-04-19,0.9986,07:13,0.933
1.11,2012:Q4,2013-01-18,1.1744,07:23,1.008
0.99,2012:Q3,2012-10-16,1.0839,07:36,0.958
1.01,2012:Q2,2012-07-17,1.04,07:14,0.973
0.84,2012:Q1,2012-04-17,0.9,07:18,0.864
0.93,2011:Q4,2012-01-18,0.9169,07:17,0.936
0.96,2011:Q3,2011-10-18,1.2117,07:21,0.895
0.96,2011:Q2,2011-07-19,1.0221,07:18,0.972
0.88,2011:Q1,2011-04-19,0.9547,07:06,0.862
0.87,2010:Q4,2011-01-19,0.3787,07:18,0.856
0.86,2010:Q3,2010-10-19,1.11,07:13,0.832
0.93,2010:Q2,2010-07-20,1.2802,07:05,0.873
0.75,2010:Q1,2010-04-20,1.007,07:09,0.772
0.99,2009:Q4,2010-01-20,1.01,07:18,0.974
