Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.06,2017:Q3,2017-10-26,0.0515,16:30,0.067
0.08,2017:Q2,2017-08-03,0.0519,16:30,0.152
0.18,2017:Q1,2017-04-27,0.145,16:43,0.181
0.08,2016:Q4,2017-02-23,0.0823,16:30,0.124
0.03,2016:Q3,2016-10-20,0.021,17:00,0.047
-0.09,2016:Q2,2016-07-21,-0.0919,17:27,-0.103
-0.08,2016:Q1,2016-04-21,-0.0917,16:30,-0.213
-0.02,2015:Q4,2016-02-25,-0.0676,17:00,-0.041
0.01,2015:Q3,2015-10-22,0.0079,16:54,-0.032
-0.02,2015:Q2,2015-07-27,-0.0236,17:18,0.048
0.22,2015:Q1,2015-04-23,0.2212,16:25,0.218
0.52,2014:Q4,2015-02-26,0.5195,17:05,0.506
0.5,2014:Q3,2014-10-23,0.5063,17:00,0.51
0.59,2014:Q2,2014-07-31,0.6039,16:46,0.587
0.66,2014:Q1,2014-05-01,0.6551,16:05,0.629
0.41,2013:Q4,2014-02-27,0.498,Aft-mkt,0.525
0.51,2013:Q3,2013-10-31,0.5127,16:10,0.5
0.54,2013:Q2,2013-08-01,0.5405,16:30,0.519
0.42,2013:Q1,2013-05-02,0.4127,17:15,0.381
0.44,2012:Q4,2013-02-20,0.4452,17:15,0.436
0.38,2012:Q3,2012-11-01,0.3745,17:00,0.328
0.26,2012:Q2,2012-08-02,0.2622,16:52,0.257
0.31,2012:Q1,2012-05-03,0.3058,16:30,0.32
0.45,2011:Q4,2012-02-27,0.4407,17:00,0.473
0.5,2011:Q3,2011-10-27,0.5052,17:10,0.501
0.48,2011:Q2,2011-07-28,0.4803,16:00,0.438
0.39,2011:Q1,2011-04-28,0.3843,Aft-mkt,0.389
0.43,2010:Q4,2011-02-24,0.4272,17:52,0.422
0.46,2010:Q3,2010-10-28,0.4573,17:00,0.454
0.35,2010:Q2,2010-08-05,0.3462,16:30,0.361
0.49,2010:Q1,2010-04-29,0.4817,17:18,0.465
0.45,2009:Q4,2010-02-25,0.4542,17:15,0.451
