Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-0.04,2014:Q4,2015-03-04,0.5275,,0.622
0.19,2014:Q3,2014-10-15,0.1579,,0.155
0.23,2014:Q2,2014-07-22,0.4118,16:18,0.251
0.06,2014:Q1,2014-04-23,-0.3277,16:03,0.183
0.53,2013:Q4,2014-02-19,-0.0222,16:05,0.483
0.1,2013:Q3,2013-10-10,0.1648,16:05,0.158
0.51,2013:Q2,2013-07-18,0.2948,09:00,0.505
0.35,2013:Q1,2013-04-25,0.2841,09:00,0.353
0.94,2012:Q4,2013-02-21,0.33,09:03,0.758
0.45,2012:Q3,2012-10-11,0.1486,09:00,0.436
-2.4245362661989844e-14,2012:Q2,2012-07-19,0.2416,09:00,0.487
0.3,2012:Q1,2012-04-26,0.3131,09:00,0.299
0.67,2011:Q4,2012-02-23,0.554,09:00,0.643
0.38,2011:Q3,2011-10-13,0.4071,09:00,0.349
0.41,2011:Q2,2011-07-21,0.4403,09:00,0.394
0.07,2011:Q1,2011-04-28,0.0787,09:00,0.066
0.62,2010:Q4,2011-02-24,0.6146,09:00,0.575
0.35,2010:Q3,2010-10-14,0.3517,09:00,0.307
0.37,2010:Q2,2010-07-22,0.3961,09:00,0.369
0.2752,2010:Q1,2010-04-29,0.2952,09:00,0.298
0.53,2009:Q4,2010-02-25,0.56,09:00,0.533
