Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.8016,2018:Q3,2017-11-29,0.8,06:40,0.762
0.9193,2018:Q2,2017-08-24,0.92,06:40,0.864
0.7414,2018:Q1,2017-05-24,0.74,06:35,0.701
1.45,2017:Q4,2017-03-17,1.452,06:40,1.384
0.76,2017:Q3,2016-11-29,0.76,06:40,0.675
0.84,2017:Q2,2016-08-25,0.84,06:40,0.714
0.6417,2017:Q1,2016-05-25,0.64,06:40,0.677
1.46,2016:Q4,2016-03-18,1.4645,06:40,1.4
0.7,2016:Q3,2015-11-24,0.7,06:40,0.746
0.86,2016:Q2,2015-08-27,0.8586,07:00,0.909
0.81,2016:Q1,2015-05-27,0.81,07:00,0.693
1.51,2015:Q4,2015-03-20,1.51,07:00,1.497
0.76,2015:Q3,2014-11-25,0.759,06:59,0.772
0.96,2015:Q2,2014-08-27,0.96,07:00,0.848
0.97,2015:Q1,2014-05-21,0.97,06:59,0.775
1.47,2014:Q4,2014-03-21,1.6249,06:45,1.515
0.73,2014:Q3,2013-11-26,0.73,07:00,0.58
0.83,2014:Q2,2013-08-27,0.83,06:59,0.736
0.7,2014:Q1,2013-05-28,0.695,07:00,0.525
1.4,2013:Q4,2013-03-22,1.4,07:00,1.357
0.49,2013:Q3,2012-11-29,0.49,07:00,0.632
0.72,2013:Q2,2012-08-27,0.72,07:00,0.733
0.64,2013:Q1,2012-05-24,0.64,07:00,0.693
1.39,2012:Q4,2012-03-20,1.39,06:59,1.415
0.7,2012:Q3,2011-11-29,0.7,06:55,0.618
0.86,2012:Q2,2011-08-26,0.8517,06:55,0.705
0.67,2012:Q1,2011-05-26,0.6687,06:59,0.573
1.44,2011:Q4,2011-03-21,1.4402,07:00,1.387
0.46,2011:Q3,2010-11-24,0.4604,06:55,0.362
0.55,2011:Q2,2010-08-27,0.5486,06:55,0.523
0.48,2011:Q1,2010-05-27,0.5046,06:55,0.369
1.09,2010:Q4,2010-03-22,1.09,06:59,1.129
