Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.0,2018:Q3,2017-11-14,0.999,08:35,0.998
0.8529,2018:Q2,2017-08-15,0.8521,08:35,0.84
0.819,2018:Q1,2017-05-16,0.8211,09:30,0.79
1.03,2017:Q4,2017-02-22,1.0335,08:33,1.002
0.91,2017:Q3,2016-11-15,0.9119,08:35,0.871
0.8433,2017:Q2,2016-08-16,0.8361,08:39,0.812
0.76,2017:Q1,2016-05-17,0.7651,08:35,0.708
0.99,2016:Q4,2016-02-24,0.9891,08:36,0.941
0.86,2016:Q3,2015-11-17,0.8607,08:35,0.845
0.8,2016:Q2,2015-08-18,0.8,08:34,0.757
0.69,2016:Q1,2015-05-19,0.6913,08:35,0.665
0.93,2015:Q4,2015-02-25,0.9311,08:37,0.9
0.85,2015:Q3,2014-11-18,0.8509,08:37,0.85
0.7495,2015:Q2,2014-08-19,0.7509,08:28,0.73
0.64,2015:Q1,2014-05-20,0.6407,08:26,0.668
0.81,2014:Q4,2014-02-26,0.81,08:40,0.825
0.7499,2014:Q3,2013-11-19,0.7495,08:41,0.737
0.66,2014:Q2,2013-08-20,0.66,08:28,0.632
0.62,2014:Q1,2013-05-21,0.62,08:36,0.624
0.82,2013:Q4,2013-02-27,0.82,08:37,0.808
0.6489,2013:Q3,2012-11-13,0.62,08:39,0.63
0.56,2013:Q2,2012-08-14,0.56,08:32,0.55
0.55,2013:Q1,2012-05-15,0.55,08:48,0.54
0.62,2012:Q4,2012-02-22,0.62,08:34,0.628
0.53,2012:Q3,2011-11-15,0.53,08:41,0.53
0.45,2012:Q2,2011-08-16,0.45,08:41,0.447
0.39,2012:Q1,2011-05-17,0.355,08:35,0.403
0.526,2011:Q4,2011-02-23,0.415,08:22,0.512
0.46,2011:Q3,2010-11-16,0.46,08:29,0.459
0.3672,2011:Q2,2010-08-17,0.365,08:40,0.368
0.4,2011:Q1,2010-05-18,0.4,08:33,0.398
0.47,2010:Q4,2010-02-24,0.47,08:34,0.458
