Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.42,2018:Q1,2017-11-07,0.4192,06:45,0.36
0.5,2017:Q4,2017-08-15,0.4949,06:45,0.495
0.46,2017:Q3,2017-05-02,0.4586,06:45,0.444
0.75,2017:Q2,2017-01-31,0.7508,06:45,0.742
0.45,2017:Q1,2016-11-01,0.4505,06:45,0.446
0.45,2016:Q4,2016-08-09,0.4487,06:45,0.406
0.44,2016:Q3,2016-04-26,0.4415,06:46,0.414
0.68,2016:Q2,2016-01-26,0.6757,06:45,0.662
0.41,2016:Q1,2015-10-27,0.4082,06:46,0.398
0.31,2015:Q4,2015-08-04,0.3032,07:00,0.293
0.36,2015:Q3,2015-04-28,0.3632,07:00,0.348
0.72,2015:Q2,2015-01-29,0.7204,07:00,0.66
0.53,2015:Q1,2014-10-28,0.5266,07:00,0.45
0.5923,2014:Q4,2014-08-05,0.5895,07:00,0.529
0.68,2014:Q3,2014-04-29,0.68,07:00,0.613
1.06,2014:Q2,2014-01-22,1.06,07:00,1.109
0.77,2014:Q1,2013-10-22,1.0704,07:00,0.763
0.8899,2013:Q4,2013-07-30,0.8941,07:00,0.89
0.84,2013:Q3,2013-04-23,0.84,07:00,0.8
1.23,2013:Q2,2013-01-23,1.23,07:00,1.285
0.77,2013:Q1,2012-10-23,0.77,07:00,0.754
0.8617,2012:Q4,2012-07-31,0.8204,07:00,0.85
0.77,2012:Q3,2012-04-24,0.77,07:00,0.754
1.1759,2012:Q2,2012-01-24,1.1382,07:00,1.154
0.73,2012:Q1,2011-10-25,0.73,07:00,0.699
0.68,2011:Q4,2011-08-02,0.68,07:00,0.652
0.6167,2011:Q3,2011-04-26,0.62,07:00,0.6
1.0,2011:Q2,2011-01-25,1.0,07:00,0.973
0.63,2011:Q1,2010-10-26,0.63,07:00,0.548
0.64,2010:Q4,2010-08-03,0.64,07:00,0.561
0.5,2010:Q3,2010-04-20,0.5,07:00,0.462
0.75,2010:Q2,2010-01-20,0.75,07:00,0.721
