Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.6,2017:Q4,2018-01-24,1.599,06:00,1.566
1.73,2017:Q3,2017-10-24,1.7327,06:55,1.686
1.85,2017:Q2,2017-07-25,1.8501,06:55,1.777
1.48,2017:Q1,2017-04-26,1.4754,06:30,1.389
1.56,2016:Q4,2017-01-25,1.5542,06:55,1.564
1.76,2016:Q3,2016-10-25,1.7643,06:55,1.667
1.82,2016:Q2,2016-07-26,1.6044,06:55,1.681
1.47,2016:Q1,2016-04-27,1.5086,06:56,1.398
1.53,2015:Q4,2016-01-27,1.0264,06:58,1.521
1.67,2015:Q3,2015-10-20,1.6688,06:57,1.544
1.81,2015:Q2,2015-07-21,1.667,07:00,1.716
1.51,2015:Q1,2015-04-21,1.4863,06:59,1.461
1.884,2014:Q4,2015-01-26,1.6371,16:05,1.622
1.82,2014:Q3,2014-10-21,1.8954,06:59,1.809
1.84,2014:Q2,2014-07-22,1.4411,06:59,1.696
1.32,2014:Q1,2014-04-22,1.4105,06:59,1.273
1.58,2013:Q4,2014-01-22,1.67,06:59,1.53
1.55,2013:Q3,2013-10-22,1.6147,06:59,1.543
1.7,2013:Q2,2013-07-23,1.6738,06:59,1.576
1.39,2013:Q1,2013-04-23,1.296,06:59,1.293
1.04,2012:Q4,2013-01-23,1.335,06:59,1.03
1.37,2012:Q3,2012-10-23,1.3982,06:28,1.187
1.62,2012:Q2,2012-07-26,1.601,08:01,1.415
1.31,2012:Q1,2012-04-24,1.1021,06:29,1.195
1.47,2011:Q4,2012-01-25,1.4071,06:59,1.457
1.47,2011:Q3,2011-10-19,1.4611,06:59,1.446
1.45,2011:Q2,2011-07-20,1.38,06:59,1.415
1.11,2011:Q1,2011-04-20,1.0819,06:59,1.066
1.31,2010:Q4,2011-01-26,1.3461,06:59,1.293
1.3,2010:Q3,2010-10-20,1.3425,07:00,1.279
1.2,2010:Q2,2010-07-21,1.2864,07:00,1.167
0.93,2010:Q1,2010-04-21,0.9515,06:30,0.905
1.2325,2009:Q4,2010-01-27,1.2111,07:09,1.144
