Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.06,2018:Q1,2018-01-24,1.0478,16:09,0.875
1.09,2017:Q4,2017-10-25,1.0552,16:02,1.189
1.04,2017:Q3,2017-07-26,1.0143,16:02,0.945
0.89,2017:Q2,2017-04-26,0.8603,16:02,0.896
0.75,2017:Q1,2017-01-25,0.4804,16:02,1.053
1.38,2016:Q4,2016-10-26,1.0166,16:02,1.34
1.22,2016:Q3,2016-07-27,0.979,16:05,1.174
1.09,2016:Q2,2016-04-27,0.859,16:44,1.082
0.99,2016:Q1,2016-01-27,0.9754,16:02,0.915
1.04,2015:Q4,2015-10-28,1.0299,16:05,1.02
1.13,2015:Q3,2015-07-29,1.1332,16:06,1.117
1.05,2015:Q2,2015-04-29,1.0757,16:01,1.007
0.99,2015:Q1,2015-01-28,0.9874,16:03,0.896
1.02,2014:Q4,2014-10-22,1.02,16:05,1.211
1.08,2014:Q3,2014-07-23,1.0671,16:05,1.087
1.04,2014:Q2,2014-04-23,1.0316,16:05,1.028
0.91,2014:Q1,2014-01-22,0.9197,16:03,0.905
1.08,2013:Q4,2013-10-23,1.0818,16:02,1.113
1.03,2013:Q3,2013-07-24,1.014,16:05,1.007
1.04,2013:Q2,2013-04-24,1.0323,16:01,1.018
0.9,2013:Q1,2013-01-23,0.89,16:00,0.87
1.08,2012:Q4,2012-10-25,1.0911,16:01,1.03
0.96,2012:Q3,2012-07-25,0.9542,16:00,0.933
0.96,2012:Q2,2012-04-25,0.9691,16:05,0.959
0.79,2012:Q1,2012-01-25,0.7866,16:01,0.749
0.95,2011:Q4,2011-10-27,0.95,16:05,0.971
0.83,2011:Q3,2011-07-27,0.8311,16:05,0.834
0.86,2011:Q2,2011-04-27,0.8503,16:00,0.851
0.8,2011:Q1,2011-01-26,0.7893,16:00,0.729
0.87,2010:Q4,2010-10-28,0.8817,16:00,0.845
0.74,2010:Q3,2010-07-28,0.7337,16:00,0.644
0.73,2010:Q2,2010-04-28,0.7269,16:00,0.676
0.63,2010:Q1,2010-01-27,0.629,16:00,0.561
