Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.23,2017:Q3,2017-10-23,1.2259,06:55,1.117
0.29,2017:Q2,2017-07-24,0.2938,06:55,0.284
0.52,2017:Q1,2017-04-28,0.5238,06:56,0.55
0.97,2016:Q4,2017-02-17,0.8034,06:55,0.968
1.2,2016:Q3,2016-10-24,1.1103,06:55,1.15
0.35,2016:Q2,2016-07-22,0.4749,06:55,0.338
0.61,2016:Q1,2016-04-29,0.56,06:55,0.582
0.95,2015:Q4,2016-02-19,0.9448,06:55,1.009
1.07,2015:Q3,2015-10-23,1.0612,06:55,1.117
0.4,2015:Q2,2015-07-24,0.3353,07:00,0.361
0.67,2015:Q1,2015-05-01,0.6306,07:00,0.672
0.98,2014:Q4,2015-02-13,0.9778,07:00,0.984
1.08,2014:Q3,2014-10-20,1.08,07:00,1.096
0.36,2014:Q2,2014-07-18,0.36,07:00,0.348
0.67,2014:Q1,2014-04-25,0.67,07:00,0.633
0.82,2013:Q4,2014-02-14,0.8213,07:00,0.841
0.9775,2013:Q3,2013-10-21,0.9749,07:00,0.946
0.3186,2013:Q2,2013-07-19,0.3186,07:00,0.293
0.6025,2013:Q1,2013-04-26,0.605,07:00,0.548
0.7675,2012:Q4,2013-02-15,0.7728,07:00,0.759
0.88,2012:Q3,2012-10-22,0.8804,07:00,0.874
0.2775,2012:Q2,2012-07-19,0.2772,07:00,0.237
0.485,2012:Q1,2012-04-27,0.4848,07:00,0.471
0.58,2011:Q4,2012-02-16,0.5802,07:00,0.575
0.6725,2011:Q3,2011-10-24,0.7172,07:00,0.644
0.2925,2011:Q2,2011-07-21,0.28,07:00,0.258
0.4275,2011:Q1,2011-04-29,0.455,07:00,0.406
0.1225,2010:Q4,2011-02-22,0.4448,07:00,0.414
0.555,2010:Q3,2010-10-21,0.555,07:00,0.529
0.25,2010:Q2,2010-07-22,0.25,07:00,0.193
0.365,2010:Q1,2010-04-30,0.3792,07:00,0.286
0.405,2009:Q4,2010-02-11,0.4057,07:00,0.368
