Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
3.95,2018:Q2,2018-01-25,2.6929,16:10,3.816
3.56,2018:Q1,2017-10-26,2.3819,16:10,3.308
2.93,2017:Q4,2017-07-27,2.0852,16:10,2.833
2.39,2017:Q3,2017-04-27,1.0687,16:10,2.143
2.3,2017:Q2,2017-01-25,1.061,16:10,2.124
1.18,2017:Q1,2016-10-26,0.3084,16:15,1.046
0.79,2016:Q4,2016-07-28,0.2194,16:15,0.72
1.21,2016:Q3,2016-04-28,1.1419,16:15,1.263
1.6,2016:Q2,2016-01-28,1.5044,16:16,1.546
1.56,2016:Q1,2015-10-21,1.4493,07:29,1.565
1.51,2015:Q4,2015-07-29,1.4079,16:15,1.449
1.97,2015:Q3,2015-04-28,1.6713,16:15,1.896
2.26,2015:Q2,2015-01-27,1.9442,16:15,2.103
2.1,2015:Q1,2014-10-28,1.8558,16:15,2.036
1.85,2014:Q4,2014-07-30,1.5385,16:15,1.731
1.94,2014:Q3,2014-04-30,1.707,16:15,1.878
2.19,2014:Q2,2014-01-22,1.9877,16:15,2.084
2.12,2014:Q1,2013-10-24,2.0043,16:15,2.053
1.96,2013:Q4,2013-07-24,-1.1008,16:15,1.805
2.1,2013:Q3,2013-04-24,1.7671,16:15,1.772
2.09,2013:Q2,2013-01-23,1.8261,16:15,1.817
2.36,2013:Q1,2012-10-22,2.1271,16:15,2.298
3.35,2012:Q4,2012-07-25,3.1623,16:15,2.454
2.0,2012:Q3,2012-04-26,2.0895,16:15,1.562
1.51,2012:Q2,2012-01-23,1.1942,16:38,0.709
1.097,2012:Q1,2011-10-19,1.0676,16:15,0.957
0.81,2011:Q4,2011-07-21,0.7632,16:15,0.675
0.66,2011:Q3,2011-04-20,0.6475,16:15,0.672
0.96,2011:Q2,2011-01-18,0.96,16:15,0.591
0.84,2011:Q1,2010-10-19,0.84,16:15,0.809
1.2,2010:Q4,2010-07-21,1.2047,16:15,1.351
1.71,2010:Q3,2010-04-22,1.71,16:15,1.555
1.85,2010:Q2,2010-01-21,1.85,16:15,1.363
