Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.71,2017:Q4,2018-01-31,0.7045,07:00,0.679
0.6784,2017:Q3,2017-10-26,0.68,07:00,0.665
0.6273,2017:Q2,2017-07-26,0.63,07:00,0.584
1.12,2017:Q1,2017-05-02,1.12,07:00,1.062
0.61,2016:Q4,2017-02-01,0.61,07:00,0.604
0.69,2016:Q3,2016-10-26,0.6866,07:00,0.614
0.57,2016:Q2,2016-07-27,0.5298,07:00,0.55
1.09,2016:Q1,2016-05-03,1.0416,07:00,1.011
0.63,2015:Q4,2016-02-04,0.57,07:00,0.629
0.61,2015:Q3,2015-11-04,0.586,07:00,0.59
0.59,2015:Q2,2015-07-29,0.5346,07:00,0.555
0.9,2015:Q1,2015-05-05,0.8965,07:00,0.826
0.56,2014:Q4,2015-02-11,0.5441,07:00,0.567
0.57,2014:Q3,2014-10-29,0.5736,07:00,0.519
0.59,2014:Q2,2014-07-30,0.5985,07:00,0.516
0.91,2014:Q1,2014-04-30,0.91,07:00,0.845
0.63,2013:Q4,2014-02-06,0.63,07:00,0.589
0.6,2013:Q3,2013-10-30,0.6,07:00,0.586
0.52,2013:Q2,2013-07-31,0.52,07:00,0.466
0.76,2013:Q1,2013-04-30,0.76,07:00,0.707
0.43,2012:Q4,2013-01-30,0.43,07:00,0.406
0.67,2012:Q3,2012-10-31,0.67,07:00,0.575
0.51,2012:Q2,2012-08-01,0.51,07:00,0.442
0.74,2012:Q1,2012-05-01,0.74,07:00,0.731
0.49,2011:Q4,2012-02-02,0.49,07:00,0.469
0.55,2011:Q3,2011-10-27,0.55,07:00,0.485
0.41,2011:Q2,2011-07-28,0.41,07:00,0.39
0.72,2011:Q1,2011-05-03,0.72,07:00,0.665
0.53,2010:Q4,2011-02-01,0.53,16:35,0.509
0.475,2010:Q3,2010-10-26,0.475,07:00,0.433
0.37,2010:Q2,2010-07-29,0.37,07:00,0.346
0.55,2010:Q1,2010-05-04,0.275,07:00,0.518
0.48,2009:Q4,2010-02-02,0.48,07:00,0.449
