Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.0,2018:Q3,2017-11-16,1.0,07:01,0.975
1.08,2018:Q2,2017-08-17,1.08,07:00,1.069
1.0,2018:Q1,2017-05-18,1.0,07:01,0.965
1.3,2017:Q4,2017-02-21,1.3,07:01,1.29
0.98,2017:Q3,2016-11-17,0.98,07:01,0.958
1.07,2017:Q2,2016-08-18,1.07,07:00,1.018
0.98,2017:Q1,2016-05-19,0.98,07:00,0.881
1.49,2016:Q4,2016-02-18,1.29,07:01,1.46
0.99,2016:Q3,2015-11-17,0.9981,07:01,0.976
1.08,2016:Q2,2015-08-18,1.08,07:02,1.124
1.03,2016:Q1,2015-05-19,1.03,07:01,1.047
1.6118,2015:Q4,2015-02-19,1.58,08:32,1.544
1.15,2015:Q3,2014-11-13,1.15,07:02,1.119
1.21,2015:Q2,2014-08-14,1.1796,07:03,1.213
1.1,2015:Q1,2014-05-15,1.1,07:02,1.152
1.6,2014:Q4,2014-02-20,1.5357,07:02,1.588
1.14,2014:Q3,2013-11-14,1.14,07:02,1.127
1.2464,2014:Q2,2013-08-15,1.23,07:02,1.25
1.14,2014:Q1,2013-05-16,1.14,07:02,1.144
1.67,2013:Q4,2013-02-21,1.67,07:00,1.567
1.08,2013:Q3,2012-11-15,1.07,07:01,1.072
1.18,2013:Q2,2012-08-16,1.18,07:01,1.173
1.09,2013:Q1,2012-05-17,1.09,07:00,1.043
1.439,2012:Q4,2012-02-21,1.58,07:08,1.453
0.97,2012:Q3,2011-11-15,0.97,07:04,0.975
1.1365,2012:Q2,2011-08-16,1.1114,07:05,1.081
0.9642,2012:Q1,2011-05-17,0.9707,07:05,0.952
1.3413,2011:Q4,2011-02-22,1.3418,07:04,1.311
0.8937,2011:Q3,2010-11-16,0.8972,07:03,0.901
0.97,2011:Q2,2010-08-17,0.97,07:03,0.965
0.88,2011:Q1,2010-05-18,0.87,08:12,0.845
1.1675,2010:Q4,2010-02-18,1.205,07:17,1.122
