Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.53,2017:Q3,2017-11-02,0.5357,16:01,0.448
0.5,2017:Q2,2017-08-03,0.5019,16:01,0.417
0.35,2017:Q1,2017-05-02,0.3492,16:01,0.395
0.47,2016:Q4,2017-02-09,0.4754,16:01,0.428
0.4624,2016:Q3,2016-11-01,0.4659,16:01,0.444
0.44,2016:Q2,2016-08-03,0.4397,16:01,0.401
0.37,2016:Q1,2016-05-03,0.37,16:01,0.379
0.42,2015:Q4,2016-02-09,0.42,16:00,0.416
0.45,2015:Q3,2015-10-29,0.45,16:01,0.44
0.41,2015:Q2,2015-07-30,0.4066,16:01,0.393
0.39,2015:Q1,2015-04-30,0.39,16:01,0.38
0.42,2014:Q4,2015-02-10,0.42,16:01,0.339
0.44,2014:Q3,2014-10-30,0.44,16:01,0.382
0.36,2014:Q2,2014-07-31,0.36,16:01,0.357
0.37,2014:Q1,2014-05-01,0.37,16:01,0.349
0.31,2013:Q4,2014-02-11,0.3163,16:01,0.321
0.39,2013:Q3,2013-10-29,0.3928,16:01,0.356
0.37,2013:Q2,2013-07-30,0.3646,07:00,0.34
0.37,2013:Q1,2013-04-30,0.3745,16:01,0.323
0.42,2012:Q4,2013-02-12,0.447,16:01,0.353
0.45,2012:Q3,2012-10-30,0.4677,16:00,0.449
0.46,2012:Q2,2012-07-24,0.4554,07:00,0.43
0.4,2012:Q1,2012-04-24,0.4062,07:00,0.397
0.4,2011:Q4,2012-02-07,0.3997,16:00,0.4
0.4,2011:Q3,2011-10-25,0.3955,16:01,0.394
0.42,2011:Q2,2011-07-26,0.4193,07:01,0.375
0.35,2011:Q1,2011-04-26,0.3452,16:01,0.343
0.38,2010:Q4,2011-02-01,0.3809,16:01,0.351
0.37,2010:Q3,2010-10-26,0.3744,16:02,0.344
0.36,2010:Q2,2010-07-27,0.3634,07:30,0.321
0.3,2010:Q1,2010-04-27,0.3,07:05,0.3
0.32,2009:Q4,2010-02-03,0.32,07:30,0.322
