Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.03,2017:Q3,2017-10-25,2.0283,06:30,2.007
1.53,2017:Q2,2017-08-02,1.5288,16:36,1.495
1.14,2017:Q1,2017-04-26,1.1319,06:30,1.104
1.35,2016:Q4,2017-02-15,1.3726,06:30,1.297
1.89,2016:Q3,2016-10-26,1.8804,06:30,1.885
1.4,2016:Q2,2016-07-27,1.3958,06:30,1.374
1.12,2016:Q1,2016-04-26,1.1119,06:30,1.105
0.98,2015:Q4,2016-02-09,0.9772,06:31,0.969
1.78,2015:Q3,2015-10-27,1.78,06:30,1.679
1.32,2015:Q2,2015-07-28,1.3383,06:30,1.258
1.03,2015:Q1,2015-04-28,1.0275,06:30,0.922
0.9,2014:Q4,2015-02-10,1.0496,06:30,0.844
1.67,2014:Q3,2014-10-24,1.6717,06:30,1.632
1.17,2014:Q2,2014-07-24,1.2,06:30,1.137
0.78,2014:Q1,2014-04-24,0.7131,06:30,0.745
0.73,2013:Q4,2014-02-07,0.7263,06:30,0.728
1.41,2013:Q3,2013-10-23,1.4,06:30,1.362
0.98,2013:Q2,2013-07-24,0.98,06:30,0.905
0.71,2013:Q1,2013-04-24,0.6972,06:29,0.668
0.63,2012:Q4,2013-02-06,0.6409,06:31,0.599
1.13,2012:Q3,2012-10-24,1.1308,06:30,1.102
0.87,2012:Q2,2012-07-25,0.8756,06:30,0.842
0.6,2012:Q1,2012-04-25,0.6127,06:30,0.552
0.47,2011:Q4,2012-02-08,0.5453,06:30,0.437
0.94,2011:Q3,2011-10-26,1.1047,06:30,0.883
0.64,2011:Q2,2011-07-27,0.715,06:30,0.559
0.44,2011:Q1,2011-04-27,0.4455,06:30,0.396
0.46,2010:Q4,2011-02-09,0.4795,06:30,0.442
0.68,2010:Q3,2010-10-26,0.6857,06:30,0.633
0.51,2010:Q2,2010-07-28,0.51,06:00,0.4
0.34,2010:Q1,2010-04-28,0.341,07:08,0.303
0.43,2009:Q4,2010-02-10,0.4283,07:00,0.37
