Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.4,2017:Q4,2018-01-22,1.4932,09:04,1.385
1.52,2017:Q3,2017-10-26,1.27,16:06,1.451
1.18,2017:Q2,2017-07-25,1.0683,16:06,1.19
1.24,2017:Q1,2017-04-25,1.0864,16:05,0.98
0.5,2016:Q4,2017-01-26,1.3904,16:05,0.832
0.75,2016:Q3,2016-11-02,0.7102,16:05,0.725
1.07,2016:Q2,2016-07-28,1.1786,16:14,0.975
1.07,2016:Q1,2016-05-05,1.0244,16:05,0.768
1.03,2015:Q4,2016-02-11,1.1241,16:10,0.758
0.86,2015:Q3,2015-10-15,1.0004,16:05,0.837
0.74,2015:Q2,2015-07-29,0.7411,16:05,0.96
0.7,2015:Q1,2015-04-28,0.6968,16:05,1.189
1.2,2014:Q4,2015-02-03,1.1801,16:05,1.418
1.95,2014:Q3,2014-10-28,1.9562,16:05,1.825
2.11,2014:Q2,2014-07-29,2.1101,07:45,2.026
2.32,2014:Q1,2014-05-01,2.316,16:05,2.067
2.27,2013:Q4,2014-01-30,2.2143,16:05,1.751
1.84,2013:Q3,2013-10-24,1.8338,16:05,1.665
1.51,2013:Q2,2013-07-29,1.4023,07:30,1.568
2.03,2013:Q1,2013-04-25,2.017,16:02,1.554
1.17,2012:Q4,2013-01-31,1.1546,16:01,1.266
1.48,2012:Q3,2012-10-24,1.3831,16:02,1.344
1.38,2012:Q2,2012-07-17,1.3758,16:02,1.495
1.33,2012:Q1,2012-05-07,1.3031,16:02,1.413
1.55,2011:Q4,2012-02-02,1.5402,16:01,1.297
1.05,2011:Q3,2011-10-19,1.0386,16:03,1.192
1.6,2011:Q2,2011-07-18,1.528,16:02,1.028
1.38,2011:Q1,2011-04-19,1.3854,16:01,0.733
0.91,2010:Q4,2011-02-10,0.9055,16:01,0.699
0.39,2010:Q3,2010-11-02,0.1622,16:02,0.398
0.52,2010:Q2,2010-07-29,0.496,16:02,0.417
0.26,2010:Q1,2010-04-29,0.2612,16:03,0.165
0.08,2009:Q4,2010-02-25,0.0897,16:05,0.138
