dt,open,high,low,close,volume
2010-01-04 09:45:00,65.0,65.33,64.96,65.33,15070
2010-01-04 10:00:00,65.35,65.59,65.34,65.52,45276
2010-01-04 10:15:00,65.54,65.59,65.26,65.33,72475
2010-01-04 10:30:00,65.33,65.57,65.33,65.52,85560
2010-01-04 10:45:00,65.57,65.64,65.48,65.62,101309
2010-01-04 11:00:00,65.65,65.65,65.45,65.45,111155
2010-01-04 11:15:00,65.48,65.49,65.36,65.37,122675
2010-01-04 11:30:00,65.4,65.55,65.37,65.45,137989
2010-01-04 11:45:00,65.45,65.45,65.29,65.395,152089
2010-01-04 12:00:00,65.38,65.53,65.27,65.52,257718
2010-01-04 12:15:00,65.52,65.85,65.46,65.75,297019
2010-01-04 12:30:00,65.79,65.82,65.62,65.62,312149
2010-01-04 12:45:00,65.63,65.675,65.46,65.58,331420
2010-01-04 13:00:00,65.53,65.62,65.47,65.62,344320
2010-01-04 13:15:00,65.61,65.68,65.6004,65.62,383604
2010-01-04 13:30:00,65.63,65.79,65.61,65.67,405960
2010-01-04 13:45:00,65.66,65.66,65.48,65.49,419210
2010-01-04 14:00:00,65.5,65.505,65.27,65.29,434718
2010-01-04 14:15:00,65.3,65.39,65.3,65.375,438218
2010-01-04 14:30:00,65.39,65.42,65.35,65.415,445878
2010-01-04 14:45:00,65.39,65.39,65.23,65.25,464268
2010-01-04 15:00:00,65.24,65.2787,65.16,65.16,488766
2010-01-04 15:15:00,65.165,65.5,65.15,65.48,510805
2010-01-04 15:30:00,65.49,65.62,65.46,65.53,542459
2010-01-04 15:45:00,65.54,65.87,65.52,65.81,610753
2010-01-04 16:00:00,65.83,66.0,65.76,65.87,751998
2010-01-05 09:45:00,65.81,65.92,65.59,65.89,22396
2010-01-05 10:00:00,65.89,65.98,65.87,65.91,41244
2010-01-05 10:15:00,65.8,66.08,65.69,65.88,68432
2010-01-05 10:30:00,65.86,66.17,65.86,66.03,81226
2010-01-05 10:45:00,66.1,66.12,65.87,66.02,91693
2010-01-05 11:00:00,66.02,66.05,65.83,66.0,95593
2010-01-05 11:15:00,66.0,66.04,65.92,65.92,100392
2010-01-05 11:30:00,65.9,65.97,65.7,65.97,110155
2010-01-05 11:45:00,65.92,66.02,65.82,65.99,120700
2010-01-05 12:00:00,65.93,66.06,65.92,66.06,126704
2010-01-05 12:15:00,66.04,66.17,66.02,66.08,135893
