dt,open,high,low,close,volume
2010-01-04 09:45:00,13.38,13.59,13.38,13.53,329213
2010-01-04 10:00:00,13.54,13.63,13.54,13.55,520806
2010-01-04 10:15:00,13.56,13.63,13.55,13.61,671473
2010-01-04 10:30:00,13.62,13.645,13.55,13.64,805460
2010-01-04 10:45:00,13.64,13.7,13.63,13.68,928928
2010-01-04 11:00:00,13.68,13.7,13.645,13.671,1037514
2010-01-04 11:15:00,13.67,13.68,13.61,13.63,1131755
2010-01-04 11:30:00,13.64,13.65,13.61,13.63,1203621
2010-01-04 11:45:00,13.63,13.7,13.6216,13.69,1314107
2010-01-04 12:00:00,13.68,13.68,13.65,13.66,1390314
2010-01-04 12:15:00,13.66,13.67,13.56,13.59,1540619
2010-01-04 12:30:00,13.6,13.6,13.57,13.5782,1631983
2010-01-04 12:45:00,13.58,13.59,13.52,13.52,1718526
2010-01-04 13:00:00,13.52,13.53,13.49,13.5,1818456
2010-01-04 13:15:00,13.5,13.54,13.5,13.52,1912156
2010-01-04 13:30:00,13.52,13.56,13.52,13.54,1987732
2010-01-04 13:45:00,13.5425,13.55,13.52,13.54,2071280
2010-01-04 14:00:00,13.5373,13.54,13.5,13.51,2136848
2010-01-04 14:15:00,13.5,13.57,13.5,13.545,2287624
2010-01-04 14:30:00,13.54,13.58,13.51,13.55,2419247
2010-01-04 14:45:00,13.55,13.55,13.52,13.53,2513383
2010-01-04 15:00:00,13.535,13.56,13.53,13.53,2624865
2010-01-04 15:15:00,13.5305,13.59,13.53,13.58,2799081
2010-01-04 15:30:00,13.58,13.585,13.54,13.55,3032116
2010-01-04 15:45:00,13.54,13.65,13.54,13.65,3424739
2010-01-04 16:00:00,13.64,13.68,13.64,13.66,4220189
2010-01-05 09:45:00,13.67,13.79,13.64,13.78,225062
2010-01-05 10:00:00,13.78,13.84,13.715,13.73,440429
2010-01-05 10:15:00,13.73,13.83,13.73,13.79,694040
2010-01-05 10:30:00,13.79,13.81,13.75,13.76,889718
2010-01-05 10:45:00,13.76,13.79,13.75,13.7801,992461
2010-01-05 11:00:00,13.79,13.84,13.75,13.75,1205328
2010-01-05 11:15:00,13.75,13.7519,13.66,13.66,1336498
2010-01-05 11:30:00,13.66,13.71,13.65,13.675,1488558
2010-01-05 11:45:00,13.6701,13.7,13.6312,13.67,1626436
2010-01-05 12:00:00,13.6784,13.705,13.66,13.689,1776461
2010-01-05 12:15:00,13.68,13.69,13.62,13.62,1906251
2010-01-05 12:30:00,13.62,13.63,13.59,13.5901,1976118
2010-01-05 12:45:00,13.59,13.62,13.54,13.543,2084299
2010-01-05 13:00:00,13.54,13.6,13.5,13.6,2368382
2010-01-05 13:15:00,13.6,13.63,13.57,13.585,2661008
2010-01-05 13:30:00,13.59,13.6,13.53,13.5301,2763895
2010-01-05 13:45:00,13.53,13.56,13.52,13.56,2828336
2010-01-05 14:00:00,13.55,13.57,13.53,13.56,2922691
2010-01-05 14:15:00,13.55,13.59,13.55,13.56,3084880
2010-01-05 14:30:00,13.57,13.58,13.55,13.57,3261756
2010-01-05 14:45:00,13.57,13.59,13.56,13.5702,3352096
2010-01-05 15:00:00,13.58,13.59,13.57,13.57,3419545
2010-01-05 15:15:00,13.58,13.58,13.53,13.5322,3601219
2010-01-05 15:30:00,13.53,13.54,13.5,13.53,3812592
2010-01-05 15:45:00,13.53,13.55,13.52,13.54,4066725
2010-01-05 16:00:00,13.54,13.55,13.5,13.52,4795570
2010-01-06 09:45:00,13.45,13.59,13.45,13.55,158054
2010-01-06 10:00:00,13.55,13.58,13.49,13.495,410323
2010-01-06 10:15:00,13.49,13.6,13.48,13.59,664482
2010-01-06 10:30:00,13.6,13.7,13.6,13.66,873689
2010-01-06 10:45:00,13.66,13.66,13.56,13.565,1016333
2010-01-06 11:00:00,13.565,13.63,13.565,13.61,1221272
2010-01-06 11:15:00,13.61,13.7,13.6,13.69,1400322
